City,State,County
New York,NY,bronx
New York,NY,richmond
New York,NY,new york
New York,NY,kings
New York,NY,queens
Los Angeles,CA,los angeles
Chicago,IL,cook
Chicago,IL,dupage
Houston,TX,harris
Houston,TX,fort bend
Houston,TX,montgomery
Phoenix,AZ,maricopa
Philadelphia,PA,philadelphia
San Antonio,TX,bexar
San Diego,CA,san diego
Dallas,TX,rockwall
Dallas,TX,denton
Dallas,TX,kaufman
Dallas,TX,dallas
Dallas,TX,collin
San Jose,CA,santa clara
Austin,TX,williamson
Austin,TX,travis
Austin,TX,hays
Jacksonville,FL,duval
Fort Worth,TX,wise
Fort Worth,TX,denton
Fort Worth,TX,parker
Fort Worth,TX,tarrant
Columbus,OH,delaware
Columbus,OH,franklin
Columbus,OH,fairfield
Indianapolis,IN,marion
Charlotte,NC,mecklenburg
San Francisco,CA,san francisco
Seattle,WA,king
Denver,CO,denver
Washington,DC,district of columbia
Nashville,TN,davidson
Oklahoma City,OK,canadian
Oklahoma City,OK,cleveland
Oklahoma City,OK,oklahoma
El Paso,TX,el paso
Boston,MA,suffolk
Portland,OR,multnomah
Portland,OR,clackamas
Portland,OR,washington
Las Vegas,NV,clark
Detroit,MI,wayne
Memphis,TN,shelby
Louisville,KY,jefferson
Baltimore,MD,baltimore
Milwaukee,WI,milwaukee
Albuquerque,NM,bernalillo
Tucson,AZ,pima
Fresno,CA,fresno
Sacramento,CA,sacramento
Kansas City,MO,clay
Kansas City,MO,platte
Kansas City,MO,jackson
Kansas City,MO,cass
Mesa,AZ,maricopa
Atlanta,GA,dekalb
Atlanta,GA,fulton
Omaha,NE,douglas
Colorado Springs,CO,el paso
Raleigh,NC,durham
Raleigh,NC,wake
Long Beach,CA,los angeles
Virginia Beach,VA,virginia beach
Miami,FL,miami-dade
Oakland,CA,alameda
Minneapolis,MN,hennepin
Tulsa,OK,wagoner
Tulsa,OK,osage
Tulsa,OK,tulsa
Bakersfield,CA,kern
Wichita,KS,sedgwick
Arlington,TX,tarrant
Aurora,CO,douglas
Aurora,CO,adams
Aurora,CO,arapahoe
Tampa,FL,hillsborough
New Orleans,LA,orleans
Cleveland,OH,cuyahoga
Honolulu,HI,honolulu
Anaheim,CA,orange
Lexington,KY,fayette
Stockton,CA,san joaquin
Corpus Christi,TX,aransas
Corpus Christi,TX,kleberg
Corpus Christi,TX,nueces
Henderson,NV,clark
Riverside,CA,riverside
Newark,NJ,essex
St Paul,MN,ramsey
Santa Ana,CA,orange
Cincinnati,OH,hamilton
Irvine,CA,orange
Orlando,FL,orange
Pittsburgh,PA,allegheny
St Louis,MO,st. louis
Greensboro,NC,guilford
Jersey City,NJ,hudson
Anchorage,AK,anchorage
Lincoln,NE,lancaster
Plano,TX,denton
Plano,TX,collin
Durham,NC,durham
Buffalo,NY,erie
Chandler,AZ,maricopa
Chula Vista,CA,san diego
Toledo,OH,lucas
Madison,WI,dane
Gilbert,AZ,maricopa
Reno,NV,washoe
Fort Wayne,IN,allen
North Las Vegas,NV,clark
St Petersburg,FL,pinellas
Lubbock,TX,lubbock
Irving,TX,dallas
Laredo,TX,webb
Winston Salem,NC,forsyth
Chesapeake,VA,chesapeake
Glendale,AZ,maricopa
Garland,TX,dallas
Garland,TX,collin
Scottsdale,AZ,maricopa
Norfolk,VA,norfolk
Boise,ID,ada
Fremont,CA,alameda
Spokane,WA,spokane
Santa Clarita,CA,los angeles
Baton Rouge,LA,east baton rouge
Richmond,VA,richmond (city)
Hialeah,FL,miami-dade
San Bernardino,CA,san bernardino
Tacoma,WA,pierce
Modesto,CA,stanislaus
Huntsville,AL,limestone
Huntsville,AL,madison
Des Moines,IA,polk
Des Moines,IA,warren
Yonkers,NY,westchester
Rochester,NY,monroe
Moreno Valley,CA,riverside
Fayetteville,NC,cumberland
Fontana,CA,san bernardino
Columbus,GA,muscogee
Worcester,MA,worcester
Port St Lucie,FL,st. lucie
Little Rock,AR,pulaski
Augusta,GA,richmond
Oxnard,CA,ventura
Birmingham,AL,shelby
Birmingham,AL,jefferson
Montgomery,AL,montgomery
Frisco,TX,denton
Frisco,TX,collin
Amarillo,TX,randall
Amarillo,TX,potter
Salt Lake City,UT,salt lake
Grand Rapids,MI,kent
Huntington Beach,CA,orange
Overland Park,KS,johnson
Glendale,CA,los angeles
Tallahassee,FL,leon
Grand Prairie,TX,tarrant
Grand Prairie,TX,dallas
Grand Prairie,TX,ellis
McKinney,TX,collin
Cape Coral,FL,lee
Sioux Falls,SD,minnehaha
Sioux Falls,SD,lincoln
Peoria,AZ,maricopa
Peoria,AZ,yavapai
Providence,RI,providence
Vancouver,WA,clark
Knoxville,TN,knox
Akron,OH,summit
Shreveport,LA,bossier
Shreveport,LA,caddo
Mobile,AL,mobile
Brownsville,TX,cameron
Newport News,VA,newport news
Fort Lauderdale,FL,broward
Chattanooga,TN,hamilton
Tempe,AZ,maricopa
Aurora,IL,kendall
Aurora,IL,dupage
Aurora,IL,kane
Aurora,IL,will
Santa Rosa,CA,sonoma
Eugene,OR,lane
Elk Grove,CA,sacramento
Salem,OR,polk
Salem,OR,marion
Ontario,CA,san bernardino
Cary,NC,chatham
Cary,NC,wake
Rancho Cucamonga,CA,san bernardino
Oceanside,CA,san diego
Lancaster,CA,los angeles
Garden Grove,CA,orange
Pembroke Pines,FL,broward
Fort Collins,CO,larimer
Palmdale,CA,los angeles
Springfield,MO,greene
Clarksville,TN,montgomery
Salinas,CA,monterey
Hayward,CA,alameda
Paterson,NJ,passaic
Alexandria,VA,alexandria
Macon,GA,bibb
Corona,CA,riverside
Kansas City,KS,wyandotte
Lakewood,CO,jefferson
Springfield,MA,hampden
Sunnyvale,CA,santa clara
Jackson,MS,madison
Jackson,MS,rankin
Jackson,MS,hinds
Killeen,TX,bell
Hollywood,FL,broward
Murfreesboro,TN,rutherford
Pasadena,TX,harris
Bellevue,WA,king
Pomona,CA,los angeles
Escondido,CA,san diego
Joliet,IL,kendall
Joliet,IL,will
Charleston,SC,charleston
Charleston,SC,berkeley
Mesquite,TX,kaufman
Mesquite,TX,dallas
Naperville,IL,dupage
Naperville,IL,will
Rockford,IL,winnebago
Bridgeport,CT,fairfield
Syracuse,NY,onondaga
Savannah,GA,chatham
Roseville,CA,placer
Torrance,CA,los angeles
Fullerton,CA,orange
Surprise,AZ,maricopa
McAllen,TX,hidalgo
Thornton,CO,adams
Visalia,CA,tulare
Olathe,KS,johnson
Gainesville,FL,alachua
West Valley City,UT,salt lake
Orange,CA,orange
Denton,TX,denton
Warren,MI,macomb
Pasadena,CA,los angeles
Waco,TX,mclennan
Cedar Rapids,IA,linn
Dayton,OH,montgomery
Elizabeth,NJ,union
Hampton,VA,hampton
Columbia,SC,lexington
Columbia,SC,richland
Kent,WA,king
Stamford,CT,fairfield
Lakewood,NJ,ocean
Victorville,CA,san bernardino
Miramar,FL,broward
Coral Springs,FL,broward
Sterling Heights,MI,macomb
New Haven,CT,new haven
Carrollton,TX,denton
Carrollton,TX,dallas
Carrollton,TX,collin
Midland,TX,midland
Midland,TX,martin
Norman,OK,cleveland
Santa Clara,CA,santa clara
Athens,GA,clarke
Thousand Oaks,CA,ventura
Topeka,KS,shawnee
Simi Valley,CA,ventura
Columbia,MO,boone
Vallejo,CA,solano
Fargo,ND,cass
Allentown,PA,lehigh
Pearland,TX,brazoria
Pearland,TX,harris
Pearland,TX,fort bend
Concord,CA,contra costa
Abilene,TX,taylor
Abilene,TX,jones
Arvada,CO,jefferson
Arvada,CO,adams
Berkeley,CA,alameda
Ann Arbor,MI,washtenaw
Independence,MO,clay
Independence,MO,jackson
Rochester,MN,olmsted
Lafayette,LA,lafayette
Hartford,CT,hartford
College Station,TX,brazos
Clovis,CA,fresno
Fairfield,CA,solano
Palm Bay,FL,brevard
Richardson,TX,dallas
Richardson,TX,collin
Round Rock,TX,williamson
Round Rock,TX,travis
Cambridge,MA,middlesex
Meridian,ID,ada
West Palm Beach,FL,palm beach
Evansville,IN,vanderburgh
Clearwater,FL,pinellas
Billings,MT,yellowstone
West Jordan,UT,salt lake
Richmond,CA,contra costa
Westminster,CO,jefferson
Westminster,CO,adams
Manchester,NH,hillsborough
Lowell,MA,middlesex
Wilmington,NC,new hanover
Antioch,CA,contra costa
Beaumont,TX,jefferson
Provo,UT,utah
North Charleston,SC,charleston
North Charleston,SC,dorchester
Elgin,IL,cook
