City,State,Cost of Living Index,State_Code,State_Name,Mean,Median,county_name,population,density,timezone,zips,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december,safety_index,education_score
abilene,tx,89.1,48,texas,46111,24248,Taylor,126356,457.4,America/Chicago,79607 79605 79699 79603 79602 79601 79606 79604 79608 79697 79698,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666,75,55
akron,oh,89.4,39,ohio,53652,42119,Summit,541945,1186.2,America/New_York,44306 44307 44304 44305 44302 44303 44301 44308 44325 44320 44311 44310 44313 44312 44319 44314 44309 44315 44316 44317 44326 44328 44334 44396 44398,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556,45,65
albany,ga,87.3,13,georgia,41702,29478,Dougherty,83447,483.3,America/New_York,31705 31721 31701 31707 31702 31703 31706 31708,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889,35,50
albany,or,105.4,41,oregon,71180,68143,Linn,56348,1232.1,America/Los_Angeles,97321 97322,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778,85,70
albany,ny,100.1,36,new york,46221,27906,Albany,590694,1798.3,America/New_York,12208 12209 12204 12206 12207 12202 12203 12205 12210 12226 12222 12201 12223 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,60,75
albuquerque,nm,92.9,35,new mexico,16025,300000,Bernalillo,769986,1159.8,America/Denver,87123 87112 87113 87110 87111 87114 87109 87108 87101 87102 87105 87104 87107 87106 87120 87119 87125 87131 87153 87154 87158 87181 87184 87187 87190 87191 87192 87194 87196 87197 87198 87199,36.3,37.6,43.29,50.24,57.54,67.05,73.72,73.69,69.82222222222222,61.37777777777777,50.37777777777777,41.06666666666667,40,60
alexandria,la,86.2,22,louisiana,59070,43651,Rapides,77109,611.6,America/Chicago,71302 71303 71301 71307 71309 71315 71348,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666,30,45
allentown,pa,98.9,42,pennsylvania,32304,19675,Lehigh,627863,2754.2,America/New_York,18104 18101 18103 18102 18109 18001 18105,29.94,27.45,32.61,42.260000000000005,53.75,63.28,69.57000000000001,71.03999999999999,67.13333333333334,58.95555555555556,46.73333333333333,36.71111111111111,50,60
altoona,pa,90.8,42,pennsylvania,49897,30734,Blair,72348,1728.1,America/New_York,16601 16602 16603,29.94,27.45,32.61,42.260000000000005,53.75,63.28,69.57000000000001,71.03999999999999,67.13333333333334,58.95555555555556,46.73333333333333,36.71111111111111,75,55
amarillo,tx,88.2,48,texas,72654,52706,Potter,205903,750.2,America/Chicago,79121 79109 79101 79102 79103 79104 79106 79107 79118 79111 79110 79114 79116 79117 79120 79166 79168 79172 79174 79178 79189,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666,55,60
