states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Texas,Abilene,"119,886",393.7,2.5,31.7,105.9,253.6,,865.0,921.8,142.6
Ohio,Akron,"198,390",886.6,12.1,84.2,290.8,499.5,,548.45,921.8,363.4
Virginia,Alexandria,"145,892",166.6,4.05,6.2,94.6,65.8,,192.6,921.8,223.5
Pennsylvania,Allentown,"119,334",547.2,12.6,45.3,313.4,176.0,,548.45,921.8,308.4
Texas,Amarillo,"196,576",650.1,5.1,56.0,141.4,447.7,,548.45,921.8,320.0
New York,Amherst Town,"117,591",74.8,4.05,6.0,23.8,45.1,,182.0,921.8,31.5
Michigan,Ann Arbor,"115,008",197.4,0.9,30.4,43.5,122.6,,620.8,921.8,99.1
California,Antioch,"105,009",393.7,9.5,27.6,354.3,625.7,,548.45,921.8,259.95
Colorado,Arvada,"109,029",144.9,4.05,20.2,26.6,98.1,,357.7,921.8,184.4
Georgia,Athens-Clarke County,"117,457",387.4,4.3,40.9,134.5,207.7,,978.2,921.8,206.0
Illinois,Aurora,"199,765",281.8,4.05,32.5,62.6,186.7,,472.6,921.8,63.1
Louisiana,Baton Rouge,"231,500",393.7,28.5,27.6,446.2,580.6,,548.45,921.8,208.2
Texas,Beaumont,"120,323",393.7,10.8,63.2,339.1,619.2,,548.45,921.8,231.9
Washington,Bellevue,"126,022",127.8,1.6,20.6,53.2,52.4,,543.6,921.8,134.1
California,Berkeley,"114,961",423.6,4.3,33.9,291.4,93.9,,844.6,921.8,557.6
Montana,Billings,"106,371",347.8,2.8,35.7,63.9,245.4,,745.5,921.8,386.4
Alabama,Birmingham,"213,266",393.7,31.4,71.3,460.9,954.2,,548.45,921.8,488.6
Idaho,Boise,"211,569",268.0,0.5,35.4,30.3,201.8,,431.5,921.8,74.2
Colorado,Boulder,"100,257",248.4,4.05,31.9,47.9,168.6,,470.8,921.8,127.7
Connecticut,Bridgeport,"146,030",393.7,15.1,265.7,415.0,509.5,,943.0,921.8,594.4
Oklahoma,Broken Arrow,"100,688",153.9,1.0,32.8,38.7,81.4,,371.4,921.8,114.2
Texas,Brownsville,"181,102",261.2,1.7,21.0,69.0,169.5,,632.2,921.8,113.7
California,Burbank,"105,057",231.3,1.9,22.8,105.7,100.9,,364.6,921.8,189.4
Massachusetts,Cambridge,"106,981",402.9,0.9,18.7,126.2,257.1,,469.2,921.8,100.0
Florida,Cape Coral,"159,625",143.5,2.5,10.0,25.7,105.2,,538.8,921.8,71.4
California,Carlsbad,"107,879",245.6,1.9,24.1,51.0,168.7,,460.7,921.8,138.1
Texas,Carrollton,"124,477",144.6,1.6,5.6,60.3,77.1,,619.4,921.8,229.0
North Carolina,Cary,"141,016",81.6,4.05,7.8,20.6,53.2,,262.4,921.8,44.7
Iowa,Cedar Rapids,"128,401",277.3,2.3,33.5,75.5,165.9,,752.3,921.8,197.8
Colorado,Centennial,"104,022",150.9,1.0,38.5,31.7,79.8,,266.3,921.8,74.0
Arizona,Chandler,"242,721",258.7,1.6,26.4,61.4,169.3,,472.6,921.8,105.5
South Carolina,Charleston,"123,856",239.0,9.7,15.3,84.0,130.0,,302.0,921.8,189.7
Virginia,Chesapeake,"227,531",368.7,5.3,15.8,88.8,258.9,,454.4,921.8,122.6
California,Chula Vista,"249,830",232.6,3.2,13.2,90.9,125.3,,370.7,921.8,401.1
Tennessee,Clarksville,"137,356",637.0,7.3,33.5,72.1,524.2,,710.6,921.8,121.6
Florida,Clearwater,"109,255",665.4,2.7,54.0,188.5,420.1,,841.2,921.8,161.1
Missouri,Columbia,"110,646",430.2,2.7,37.1,146.4,244.0,,708.6,921.8,129.2
Georgia,Columbus,"196,178",506.7,8.7,15.8,215.6,266.6,,548.45,921.8,431.2
California,Concord,"125,205",321.1,4.05,15.2,122.2,183.7,,662.1,921.8,526.3
Florida,Coral Springs,"125,021",183.2,0.8,8.0,62.4,112.0,,457.5,921.8,120.0
California,Corona,"157,342",133.5,0.6,10.8,64.8,57.2,,547.2,921.8,327.9
California,Costa Mesa,"112,635",225.5,3.6,28.4,73.7,119.9,,593.1,921.8,320.5
California,Daly City,"103,311",209.1,4.05,8.7,73.6,126.8,,382.3,921.8,248.8
Iowa,Davenport,"101,193",596.9,4.0,39.5,149.2,404.2,,879.5,921.8,282.6
Ohio,Dayton,"142,139",973.7,16.9,78.8,445.3,432.7,,548.45,921.8,487.6
Texas,Denton,"118,942",310.2,0.8,72.3,68.9,168.1,,531.4,921.8,132.0
Iowa,Des Moines,"207,400",527.5,3.4,48.2,120.5,355.4,,548.45,921.8,377.0
California,Downey,"113,628",335.3,5.3,17.6,167.2,145.2,,589.6,921.8,844.0
North Carolina,Durham,"235,563",725.9,8.9,26.7,261.1,429.2,,548.45,921.8,298.9
New Jersey,Edison Township,"101,007",120.8,4.05,8.9,58.4,53.5,,337.6,921.8,109.9
California,El Cajon,"101,864",358.3,2.0,23.6,144.3,188.5,,484.0,921.8,386.8
California,El Monte,"115,356",342.4,3.5,12.1,176.0,150.8,,495.0,937.1,501.1
Illinois,Elgin,"109,155",235.4,1.8,61.4,69.6,102.6,,327.1,921.8,72.4
New Jersey,Elizabeth,"126,281",797.4,11.1,29.3,423.7,333.4,,781.6,921.8,924.1
California,Elk Grove,"156,344",327.5,0.6,12.8,60.8,253.3,,431.1,921.8,135.6
Pennsylvania,Erie,"101,972",449.1,7.8,62.8,168.7,209.9,,548.45,921.8,102.0
California,Escondido,"147,386",426.1,3.4,25.8,139.8,257.1,,518.4,921.8,514.3
Oregon,Eugene,"158,043",272.1,4.05,45.6,124.0,102.5,,958.6,921.8,275.2
Indiana,Evansville,"118,194",473.8,6.8,47.4,168.4,251.3,,957.7,921.8,355.3
Washington,Everett,"105,318",456.7,0.9,43.7,172.8,239.3,,548.45,921.8,921.0
California,Fairfield,"107,110",423.9,7.5,28.0,129.8,258.6,,631.1,921.8,464.0
North Dakota,Fargo,"109,813",358.8,1.8,62.8,41.9,252.2,,410.7,921.8,141.1
North Carolina,Fayetteville,"205,966",575.8,10.7,34.0,271.9,259.3,,548.45,921.8,367.1
Michigan,Flint,"101,632",393.7,62.0,106.3,662.2,245.4,,548.45,921.8,451.6
California,Fontana,"200,874",423.2,2.5,15.4,144.9,260.4,,547.1,921.8,500.8
Colorado,Fort Collins,"148,792",262.8,1.3,29.6,26.9,205.0,,401.9,921.8,95.4
Florida,Fort Lauderdale,"170,827",903.3,9.4,28.1,488.8,377.0,,548.45,921.8,345.4
California,Fremont,"218,927",139.8,0.9,6.4,60.3,72.2,,537.2,921.8,265.4
