City,State,Cost of Living Index,State_Code,State_Name,Mean,Median,county_name,population,density,timezone,zips,Total.Math,Total.Verbal,Academic Subjects.English.Average GPA,Academic Subjects.Mathematics.Average GPA,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december,safety_index
albany,ga,87.3,13,georgia,41702,29478,Dougherty,83447,483.3,America/New_York,31705 31721 31701 31707 31702 31703 31706 31708,486,490,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889,622.5900000000001
albany,ga,87.3,13,georgia,41702,29478,Dougherty,83447,483.3,America/New_York,31705 31721 31701 31707 31702 31703 31706 31708,486,490,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889,439.8975
albany,ga,87.3,13,georgia,41702,29478,Dougherty,83447,483.3,America/New_York,31705 31721 31701 31707 31702 31703 31706 31708,486,490,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889,504.02
albany,or,105.4,41,oregon,71180,68143,Linn,56348,1232.1,America/Los_Angeles,97321 97322,523,524,3.55,3.31,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778,622.5900000000001
albany,or,105.4,41,oregon,71180,68143,Linn,56348,1232.1,America/Los_Angeles,97321 97322,523,524,3.55,3.31,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778,439.8975
albany,or,105.4,41,oregon,71180,68143,Linn,56348,1232.1,America/Los_Angeles,97321 97322,523,524,3.55,3.31,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778,504.02
albany,ny,100.1,36,new york,46221,27906,Albany,590694,1798.3,America/New_York,12208 12209 12204 12206 12207 12202 12203 12205 12210 12226 12222 12201 12223 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,502,489,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,622.5900000000001
albany,ny,100.1,36,new york,46221,27906,Albany,590694,1798.3,America/New_York,12208 12209 12204 12206 12207 12202 12203 12205 12210 12226 12222 12201 12223 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,502,489,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,439.8975
albany,ny,100.1,36,new york,46221,27906,Albany,590694,1798.3,America/New_York,12208 12209 12204 12206 12207 12202 12203 12205 12210 12226 12222 12201 12223 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,502,489,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664,504.02
alexandria,la,86.2,22,louisiana,59070,43651,Rapides,77109,611.6,America/Chicago,71302 71303 71301 71307 71309 71315 71348,561,564,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666,1778.28
