City,State,Cost of Living Index,State_Code,State_Name,County,Place,Zip_Code,Mean,Median,city,city_ascii,state_id,state_name,county_name,population,density,timezone,zips,Total.Math,Total.Verbal,Academic Subjects.English.Average GPA,Academic Subjects.Mathematics.Average GPA,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december
abilene,tx,89.1,48.0,texas,Anderson County,Elkhart,79603.0,46111.0,24248.0,abilene,Abilene,tx,Texas,Taylor,126356.0,457.4,America/Chicago,79607 79605 79699 79603 79602 79601 79606 79604 79608 79697 79698,487.0,470.0,3.44,3.27,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666
adrian,mi,90.5,26.0,michigan,Alcona County,Hubbard Lake,49221.0,66771.0,300000.0,adrian,Adrian,mi,Michigan,Lenawee,20607.0,993.7,America/Detroit,49221,610.0,594.0,3.76,3.66,23.95,20.21,25.22,35.96,48.440000000000005,60.07000000000001,66.99,68.59,64.69999999999999,55.34444444444445,42.47777777777778,31.47777777777777
akron,oh,89.4,39.0,ohio,Summit County,Lakemore,44312.0,53652.0,42119.0,akron,Akron,oh,Ohio,Summit,541945.0,1186.2,America/New_York,44306 44307 44304 44305 44302 44303 44301 44308 44325 44320 44311 44310 44313 44312 44319 44314 44309 44315 44316 44317 44326 44328 44334 44396 44398,564.0,557.0,3.61,3.49,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556
alamogordo,nm,85.8,35.0,new mexico,Otero County,Holloman AFB,88330.0,53619.0,45183.0,alamogordo,Alamogordo,nm,New Mexico,Otero,30996.0,554.8,America/Denver,88310,545.0,551.0,3.58,3.36,36.3,37.6,43.29,50.24,57.54,67.05,73.72,73.69,69.82222222222222,61.37777777777777,50.37777777777777,41.06666666666667
albany,ga,87.3,13.0,georgia,Dougherty County,Albany city,31701.0,41702.0,29478.0,albany,Albany,ga,Georgia,Dougherty,83447.0,483.3,America/New_York,31705 31721 31701 31707 31702 31703 31706 31708,486.0,490.0,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889
albany,or,105.4,41.0,oregon,Baker County,Baker City city,97322.0,71180.0,68143.0,albany,Albany,or,Oregon,Linn,56348.0,1232.1,America/Los_Angeles,97321 97322,523.0,524.0,3.55,3.31,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778
albany,ny,100.1,36.0,new york,Albany County,Albany city,12208.0,46221.0,27906.0,albany,Albany,ny,New York,Albany,590694.0,1798.3,America/New_York,12208 12209 12204 12206 12207 12202 12203 12205 12210 12226 12222 12201 12223 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,502.0,489.0,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664
albertville,al,90.9,1.0,alabama,Autauga County,Autaugaville,35951.0,61634.0,300000.0,albertville,Albertville,al,Alabama,Marshall,22433.0,321.5,America/Chicago,35951 35950,541.0,547.0,3.67,3.47,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666
albuquerque,nm,92.9,35.0,new mexico,Bernalillo County,Pajarito Mesa,87121.0,16025.0,300000.0,albuquerque,Albuquerque,nm,New Mexico,Bernalillo,769986.0,1159.8,America/Denver,87123 87112 87113 87110 87111 87114 87109 87108 87101 87102 87105 87104 87107 87106 87120 87119 87125 87131 87153 87154 87158 87181 87184 87187 87190 87191 87192 87194 87196 87197 87198 87199,545.0,551.0,3.58,3.36,36.3,37.6,43.29,50.24,57.54,67.05,73.72,73.69,69.82222222222222,61.37777777777777,50.37777777777777,41.06666666666667
alexandria,la,86.2,22.0,louisiana,Acadia Parish,Crowley city,71306.0,59070.0,43651.0,alexandria,Alexandria,la,Louisiana,Rapides,77109.0,611.6,America/Chicago,71302 71303 71301 71307 71309 71315 71348,561.0,564.0,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666
allentown,pa,98.9,42.0,pennsylvania,Adams County,Abbottstown,18102.0,32304.0,19675.0,allentown,Allentown,pa,Pennsylvania,Lehigh,627863.0,2754.2,America/New_York,18104 18101 18103 18102 18109 18001 18105,505.0,499.0,3.51,3.33,29.94,27.45,32.61,42.260000000000005,53.75,63.28,69.57000000000001,71.03999999999999,67.13333333333334,58.95555555555556,46.73333333333333,36.71111111111111
altoona,pa,90.8,42.0,pennsylvania,Adams County,Abbottstown,16602.0,49897.0,30734.0,altoona,Altoona,pa,Pennsylvania,Blair,72348.0,1728.1,America/New_York,16601 16602 16603,505.0,499.0,3.51,3.33,29.94,27.45,32.61,42.260000000000005,53.75,63.28,69.57000000000001,71.03999999999999,67.13333333333334,58.95555555555556,46.73333333333333,36.71111111111111
amarillo,tx,88.2,48.0,texas,Anderson County,Elkhart,79106.0,72654.0,52706.0,amarillo,Amarillo,tx,Texas,Potter,205903.0,750.2,America/Chicago,79121 79109 79101 79102 79103 79104 79106 79107 79118 79111 79110 79114 79116 79117 79120 79166 79168 79172 79174 79178 79189,487.0,470.0,3.44,3.27,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666
ames,ia,91.5,19.0,iowa,Adair County,Greenfield city,50010.0,92699.0,94744.0,ames,Ames,ia,Iowa,Story,66729.0,918.7,America/Chicago,50014 50013 50012 50010 50011,602.0,590.0,3.77,3.63,23.51,20.47,28.56,41.68,53.55,65.56,72.22999999999999,72.08,68.43333333333334,58.55555555555556,43.91111111111111,31.8
anchorage,ak,110.7,2.0,alaska,Matanuska-Susitna Borough,Point MacKenzie,99501.0,77110.0,84804.0,anchorage,Anchorage,ak,Alaska,Anchorage,290674.0,65.8,America/Anchorage,99518 99515 99517 99516 99513 99540 99530 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99510 99511 99514 99520 99521 99522 99523 99524 99529 99599,505.0,509.0,3.49,3.14,16.5,19.0,24.0,34.5,45.0,55.0,60.0,59.0,50.0,38.5,25.0,17.0
ann arbor,mi,99.3,26.0,michigan,Alcona County,Hubbard Lake,48104.0,77541.0,58461.0,ann arbor,Ann Arbor,mi,Michigan,Washtenaw,308983.0,1671.9,America/Detroit,48103 48104 48105 48108 48109 48113,610.0,594.0,3.76,3.66,23.95,20.21,25.22,35.96,48.440000000000005,60.07000000000001,66.99,68.59,64.69999999999999,55.34444444444445,42.47777777777778,31.47777777777777
anniston,al,85.7,1.0,alabama,Autauga County,Autaugaville,36201.0,27581.0,15743.0,anniston,Anniston,al,Alabama,Calhoun,79717.0,181.2,America/Chicago,36201 36206 36207 36205 36204,541.0,547.0,3.67,3.47,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666
appleton,wi,90.7,55.0,wisconsin,Calumet County,Harrison,54915.0,103427.0,95051.0,appleton,Appleton,wi,Wisconsin,Outagamie,233947.0,1145.4,America/Chicago,54914 54915 54913 54911 54912 54919,606.0,591.0,3.77,3.64,19.03,15.46,22.79,35.55,48.42,60.65,67.54,68.34,64.22222222222223,54.18888888888889,40.06666666666667,27.73333333333333
asheville,nc,103.3,37.0,north carolina,Alamance County,Alamance,28801.0,43098.0,32415.0,asheville,Asheville,nc,North Carolina,Buncombe,294013.0,795.6,America/New_York,28806 28805 28804 28803 28801 28776 28810 28814 28815 28816,505.0,498.0,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445
ashtabula,oh,87.4,39.0,ohio,Adams County,Rome,44004.0,40203.0,31359.0,ashtabula,Ashtabula,oh,Ohio,Ashtabula,18003.0,895.1,America/New_York,44004 44005,564.0,557.0,3.61,3.49,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556
athens,oh,88.5,39.0,ohio,Adams County,Rome,45701.0,38616.0,18592.0,athens,Athens,oh,Ohio,Athens,22698.0,880.0,America/New_York,45701,564.0,557.0,3.61,3.49,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556
athens,tx,92.9,48.0,texas,Anderson County,Elkhart,75751.0,40995.0,34315.0,athens,Athens,tx,Texas,Henderson,12878.0,278.8,America/Chicago,75751 75752,487.0,470.0,3.44,3.27,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666
athens,ga,95.0,13.0,georgia,Appling County,Baxley city,30605.0,20630.0,15472.0,athens,Athens,ga,Georgia,Clarke,143173.0,420.0,America/New_York,30602 30622 30601 30605 30606 30607 30609 30683 30603 30608 30612,486.0,490.0,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889
atlanta,ga,100.3,13.0,georgia,DeKalb County,Brookhaven city,30319.0,94627.0,70197.0,atlanta,Atlanta,ga,Georgia,Fulton,5180179.0,1412.3,America/New_York,30334 30331 30332 30309 30308 30354 30327 30322 30326 30324 30319 30342 30305 30307 30306 30316 30317 30314 30315 30312 30313 30310 30311 30303 30363 30318 30301 30302 30304 30321 30325 30333 30343 30348 30353 30355 30357 30361 30368 30369 30370 30371 30375 30377 30392 30394 30398 31106 31107 31126 31139 31141 31193 31196,486.0,490.0,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889
atlantic city,nj,102.0,34.0,new jersey,Atlantic County,Absecon city,8401.0,91356.0,70301.0,atlantic city,Atlantic City,nj,New Jersey,Atlantic,38487.0,1381.0,America/New_York,08401 08404 08405,521.0,500.0,3.39,3.25,35.05,32.910000000000004,37.47,46.14,56.79,66.37,73.67999999999999,75.57000000000001,71.24444444444445,62.95555555555556,51.15555555555555,41.5
auburn,ny,93.7,36.0,new york,Albany County,Albany city,13021.0,33105.0,27876.0,auburn,Auburn,ny,New York,Cayuga,26674.0,1235.6,America/New_York,13021 13024 13022,502.0,489.0,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664
auburn,al,91.9,1.0,alabama,Lee County,Auburn city,36830.0,59694.0,38029.0,auburn,Auburn,al,Alabama,Lee,105386.0,476.6,America/Chicago,36849 36832 36830 36831,541.0,547.0,3.67,3.47,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666
augusta,ga,91.6,13.0,georgia,Appling County,Baxley city,30904.0,49158.0,33239.0,augusta,Augusta,ga,Georgia,Richmond,437257.0,257.5,America/New_York,30912 30815 30812 30907 30906 30904 30905 30901 30909 30805 30903 30914 30916 30917 30919 30999,486.0,490.0,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889
augusta,me,100.0,23.0,maine,Androscoggin County,Auburn city,4330.0,44459.0,31727.0,augusta,Augusta,me,Maine,Kennebec,18938.0,132.6,America/New_York,04330 04332 04333 04336 04338,472.0,468.0,3.58,3.4,19.78,17.27,22.17,32.739999999999995,45.75,56.52,63.9,66.44,61.98888888888889,52.5,40.1,28.155555555555555
austin,tx,106.6,48.0,texas,Travis County,Bee Cave city,78738.0,122203.0,118410.0,austin,Austin,tx,Texas,Travis,1905945.0,1154.1,America/Chicago,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78736 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,487.0,470.0,3.44,3.27,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666
bakersfield,ca,102.9,6.0,california,Kern County,Bakersfield city,93304.0,71025.0,56986.0,bakersfield,Bakersfield,ca,California,Kern,571992.0,1038.8,America/Los_Angeles,93306 93307 93304 93305 93301 93309 93314 93311 93313 93312 93302 93383 93384 93385 93387 93389 93390,507.0,496.0,3.42,3.1,45.25,46.98,49.85,54.49,60.010000000000005,67.62,75.06,77.17999999999999,73.80000000000001,66.3111111111111,56.93333333333333,48.47777777777778
baltimore,md,107.0,24.0,maryland,Baltimore County,Overlea,21236.0,75318.0,63290.0,baltimore,Baltimore,md,Maryland,Baltimore,2196524.0,2788.2,America/New_York,21218 21211 21210 21213 21212 21215 21214 21217 21216 21233 21231 21230 21239 21251 21209 21202 21206 21207 21205 21287 21223 21226 21201 21224 21225 21229 21203 21263 21264 21270 21273 21275 21278 21279 21281 21290 21297 21298,493.0,490.0,3.35,3.11,36.91,35.07,40.010000000000005,48.78,59.13,68.3,74.94,76.28999999999999,72.27777777777777,64.38888888888889,52.48888888888889,42.87777777777777
bangor,me,98.0,23.0,maine,Androscoggin County,Auburn city,4401.0,27254.0,17068.0,bangor,Bangor,me,Maine,Penobscot,31705.0,357.3,America/New_York,04401 04402,472.0,468.0,3.58,3.4,19.78,17.27,22.17,32.739999999999995,45.75,56.52,63.9,66.44,61.98888888888889,52.5,40.1,28.155555555555555
barnstable town,ma,122.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baton rouge,la,91.1,22.0,louisiana,East Baton Rouge Parish,Baton Rouge city,70806.0,56178.0,39487.0,baton rouge,Baton Rouge,la,Louisiana,East Baton Rouge,635671.0,1001.4,America/Chicago,70836 70808 70809 70802 70803 70801 70806 70807 70805 70820 70825 70819 70813 70812 70815 70814 70816 70804 70821 70822 70823 70827 70831 70833 70835 70873 70874 70891 70892 70893 70894 70895 70898,561.0,564.0,3.65,3.5,51.92,51.77,57.39,63.620000000000005,70.2,77.27000000000001,81.53,82.31,80.56666666666666,74.32222222222222,63.888888888888886,56.16666666666666
battle creek,mi,85.9,26.0,michigan,Alcona County,Hubbard Lake,49015.0,35676.0,30669.0,battle creek,Battle Creek,mi,Michigan,Calhoun,78338.0,475.7,America/Detroit,49015 49037 49016,610.0,594.0,3.76,3.66,23.95,20.21,25.22,35.96,48.440000000000005,60.07000000000001,66.99,68.59,64.69999999999999,55.34444444444445,42.47777777777778,31.47777777777777
bay city,mi,85.4,26.0,michigan,Alcona County,Hubbard Lake,48708.0,43828.0,32954.0,bay city,Bay City,mi,Michigan,Bay,65704.0,1240.6,America/Detroit,48706 48708,610.0,594.0,3.76,3.66,23.95,20.21,25.22,35.96,48.440000000000005,60.07000000000001,66.99,68.59,64.69999999999999,55.34444444444445,42.47777777777778,31.47777777777777
