states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft,safety_index
California,Alameda,"75,467",212.0,1.3,11.91,106.0,92.8,827.7,392.2,813.4,390.9,306.181
Georgia,Albany,"78,512",303.0,5.1,34.4,285.3,710.7,827.7,494.4500000000001,813.4,285.3,439.89750000000004
New York,Albany,"98,187",816.8,4.1,43.8,253.6,515.3,827.7,903.4,813.4,156.8,504.02
California,Alhambra,"84,469",176.4,3.1,2.4,78.1,95.9,827.7,384.8,813.4,301.9,296.875
Texas,Allen,"88,783",61.9,3.1,12.4,14.6,34.9,827.7,242.2,813.4,49.6,234.10999999999999
Georgia,Alpharetta,"60,031",70.0,1.7,10.0,30.0,28.3,827.7,211.6,813.4,45.0,226.33
California,Apple Valley,"70,823",312.0,4.2,9.9,91.8,206.1,827.7,979.9,813.4,286.6,463.7
Wisconsin,Appleton,"73,431",290.1,3.1,38.1,30.0,222.0,827.7,345.9,813.4,36.8,291.57
Illinois,Arlington Heights,"75,463",54.3,1.3,9.3,10.6,33.1,827.7,185.5,813.4,22.5,217.33
North Carolina,Asheville,"85,295",495.9,7.0,38.7,165.3,284.9,827.7,869.9,813.4,393.9,464.03499999999997
Washington,Auburn,"72,218",343.4,8.3,31.8,152.3,150.9,827.7,494.4500000000001,813.4,811.4,369.15250000000003
Arizona,Avondale,"78,364",297.3,8.9,5.1,91.9,191.4,827.7,874.1,813.4,312.6,436.58
California,Baldwin Park,"76,644",340.5,2.6,6.5,95.2,236.2,827.7,437.1,813.4,507.5,343.32000000000005
New Jersey,Bayonne,"64,036",206.1,3.1,9.4,64.0,132.7,827.7,320.1,874.5,81.2,286.695
Texas,Baytown,"74,420",331.9,6.7,20.2,130.3,174.7,827.7,494.4500000000001,813.4,412.5,349.1775
Oregon,Beaverton,"92,276",152.8,3.1,22.8,39.0,91.0,827.7,212.4,813.4,119.2,242.03500000000003
California,Bellflower,"77,886",390.3,7.7,14.1,173.3,195.2,827.7,535.4,813.4,640.7,377.74
Washington,Bellingham,"82,665",266.1,3.1,35.1,64.1,166.9,827.7,742.8,813.4,166.9,392.14500000000004
Pennsylvania,Bensalem Township,"60,665",131.9,1.6,11.5,64.3,54.4,827.7,553.9,813.4,146.7,324.46999999999997
Pennsylvania,Bethlehem,"75,388",315.7,2.7,25.2,160.5,127.3,827.7,500.1,813.4,110.1,331.28
North Dakota,Bismarck,"64,103",340.1,1.6,48.4,25.0,265.2,827.7,499.2,813.4,160.7,342.87500000000006
Illinois,Bloomington,"77,107",482.4,1.3,54.5,58.4,368.3,827.7,463.0,813.4,57.1,348.015
Indiana,Bloomington,"81,636",297.7,3.7,22.0,51.4,220.5,827.7,761.9,813.4,185.0,403.375
Minnesota,Bloomington,"84,596",303.0,3.1,23.55,69.7,74.5,827.7,268.3,813.4,91.0,255.27000000000004
Florida,Boca Raton,"86,493",189.6,3.1,13.9,71.7,104.1,827.7,567.7,813.4,116.8,335.085
Illinois,Bolingbrook,"73,836",243.8,1.4,21.7,67.7,153.0,827.7,219.4,813.4,50.1,252.135
Louisiana,Bossier City,"63,116",373.9,3.2,30.1,82.4,258.3,827.7,660.7,813.4,109.3,383.795
Florida,Boynton Beach,"69,937",570.5,7.1,11.4,181.6,370.3,827.7,896.5,813.4,215.9,473.51
New Jersey,Brick Township,"75,809",106.8,3.1,7.9,21.1,77.8,827.7,349.6,813.4,21.1,266.17
Connecticut,Bristol,"60,688",153.2,4.9,14.8,84.0,49.4,827.7,585.0,813.4,184.6,336.18500000000006
Massachusetts,Brockton,"95,156",303.0,6.3,50.4,236.5,850.2,827.7,856.5,813.4,220.7,545.005
Minnesota,Brooklyn Park,"77,346",303.0,5.2,23.55,117.7,157.7,827.7,637.4,813.4,174.5,369.31500000000005
Texas,Bryan,"78,479",397.6,1.3,39.5,87.9,268.9,827.7,632.0,813.4,112.1,379.555
California,Buena Park,"82,505",249.7,1.2,15.8,93.3,139.4,827.7,414.5,813.4,374.5,317.03000000000003
Minnesota,Burnsville,"61,218",303.0,3.1,23.55,27.8,140.5,827.7,330.0,813.4,117.6,277.735
California,Camarillo,"66,506",91.7,3.1,7.5,31.6,52.6,827.7,209.0,813.4,73.7,230.88
New Jersey,Camden,"77,665",303.0,86.3,95.3,972.1,185.1,827.7,494.4500000000001,813.4,906.5,479.0675
Ohio,Canton,"72,914",999.8,13.7,87.8,567.8,330.5,827.7,494.4500000000001,813.4,632.3,435.0975
Indiana,Carmel,"81,819",13.4,3.1,2.4,7.3,3.7,987.5,138.1,793.2,56.2,197.96500000000003
California,Carson,"93,233",557.7,7.5,15.0,152.3,382.9,827.7,644.6,813.4,589.9,428.615
Illinois,Champaign,"81,329",911.1,3.7,62.7,166.0,678.7,827.7,887.8,813.4,99.6,514.84
New York,Cheektowaga Town,"79,178",221.0,3.1,24.0,83.4,113.7,827.7,426.9,813.4,109.9,303.15999999999997
New Jersey,Cherry Hill Township,"71,337",157.0,1.4,23.55,77.1,78.5,827.7,379.9,813.4,127.6,286.085
Wyoming,Cheyenne,"60,969",229.6,3.1,34.4,34.4,160.7,827.7,418.2,813.4,157.5,306.555
California,Chico,"87,090",323.8,1.1,52.8,109.1,160.8,827.7,893.3,813.4,291.7,441.065
California,Chino Hills,"76,632",83.5,3.1,2.6,28.7,52.2,827.7,456.7,706.0,84.8,271.04
California,Chino,"79,792",364.7,1.3,11.3,65.2,287.0,827.7,704.3,813.4,294.5,404.375
Illinois,Cicero,"84,300",449.6,5.9,21.4,217.1,205.2,827.7,843.4,813.4,338.1,445.95000000000005
California,Citrus Heights,"85,112",386.5,2.3,15.3,117.5,251.4,827.7,734.3,813.4,558.1,425.495
New York,Clarkstown Town,"80,186",94.8,3.1,5.0,33.7,56.1,827.7,133.4,813.4,31.2,210.34
New Jersey,Clifton,"84,684",217.3,3.1,15.4,94.5,107.5,827.7,422.7,813.4,166.5,304.26
Michigan,Clinton Township,"97,001",300.0,3.1,39.2,59.8,201.0,827.7,491.7,813.4,186.6,335.45
California,Clovis,"97,828",223.9,3.1,34.8,58.3,127.8,827.7,976.2,813.4,393.5,455.35
Texas,College Station,"96,567",508.5,3.1,35.2,39.4,430.8,827.7,596.5,813.4,62.1,387.45500000000004
New York,Colonie Town,"77,853",59.1,3.1,23.55,37.2,21.8,827.7,274.9,813.4,71.9,244.81
California,Compton,"98,057",303.0,21.4,33.7,436.5,750.6,827.7,585.4,813.4,835.2,513.61
Arkansas,Conway,"60,700",415.2,1.6,47.8,125.2,240.5,827.7,675.5,813.4,166.4,393.49
Minnesota,Coon Rapids,"62,301",303.0,1.6,23.55,25.7,67.4,827.7,311.4,813.4,96.3,260.62
Iowa,Council Bluffs,"62,708",303.0,1.6,106.8,129.2,948.8,827.7,494.4500000000001,813.4,754.3,490.1675
Rhode Island,Cranston,"80,315",161.9,2.5,19.9,42.3,97.1,827.7,488.1,813.4,191.7,315.45
Connecticut,Danbury,"81,891",133.1,1.2,28.1,55.0,48.8,827.7,350.5,813.4,90.4,270.635
Florida,Davie,"94,952",388.6,5.3,24.2,77.9,281.2,827.7,702.5,813.4,253.8,404.18
California,Davis,"66,628",142.6,3.1,30.0,46.5,66.0,827.7,585.3,813.4,130.6,333.54999999999995
Florida,Daytona Beach,"61,861",303.0,6.5,37.2,289.4,822.8,827.7,494.4500000000001,813.4,559.3,471.3125
Michigan,Dearborn,"97,215",331.2,1.0,24.7,110.1,195.4,827.7,475.2,813.4,367.2,342.78000000000003
Illinois,Decatur,"76,131",462.4,7.9,34.2,139.2,281.1,827.7,494.4500000000001,813.4,107.7,352.3675
Florida,Deerfield Beach,"77,431",464.9,5.2,22.0,192.4,245.4,827.7,767.1,813.4,237.6,425.365
Florida,Delray Beach,"62,044",736.6,9.7,41.9,253.0,432.0,827.7,910.6,813.4,249.8,498.565
Alabama,Dothan,"66,275",481.3,7.5,45.3,150.9,277.6,827.7,494.4500000000001,813.4,196.2,358.4875
Minnesota,Duluth,"86,830",303.0,2.3,23.55,103.7,245.3,827.7,739.4,813.4,198.1,407.29999999999995
Minnesota,Eagan,"65,180",303.0,3.1,23.55,16.9,23.0,827.7,277.7,813.4,67.5,243.44
New Jersey,East Orange,"64,682",562.8,7.7,34.0,219.5,301.5,827.7,539.6,739.0,522.6,380.56
Minnesota,Eden Prairie,"62,052",303.0,3.1,23.55,4.8,17.7,827.7,172.4,813.4,32.2,213.34500000000003
Texas,Edinburg,"80,332",444.4,1.2,36.1,62.2,344.8,827.7,494.4500000000001,813.4,260.2,361.0325
Oklahoma,Edmond,"83,473",101.8,2.4,14.4,24.0,61.1,827.7,363.0,813.4,56.3,269.61
California,Encinitas,"60,960",246.1,1.6,19.7,37.7,187.0,827.7,477.4,813.4,124.7,322.295
Illinois,Evanston,"74,820",304.7,4.0,5.3,105.6,189.8,827.7,562.7,813.4,84.2,347.72499999999997
Connecticut,Fairfield,"60,122",54.9,3.1,3.3,21.6,29.9,827.7,384.2,813.4,116.4,271.99
Massachusetts,Fall River,"89,753",303.0,2.2,57.9,291.9,710.8,827.7,862.4,813.4,304.2,535.4200000000001
Michigan,Farmington Hills,"80,316",92.1,1.2,18.7,14.9,57.3,827.7,287.6,813.4,156.9,254.56000000000003
Arkansas,Fayetteville,"75,387",514.7,1.3,76.9,53.1,383.4,827.7,668.6,813.4,176.4,409.355
Washington,Federal Way,"91,978",321.8,3.3,46.8,115.2,156.6,827.7,494.4500000000001,813.4,867.6,369.8575
Indiana,Fishers,"79,375",17.6,3.1,1.3,11.3,5.0,827.7,127.2,873.1,34.0,210.595
Arizona,Flagstaff,"66,633",393.2,3.1,42.0,67.5,283.6,827.7,363.2,813.4,88.5,311.86
Texas,Flower Mound,"68,023",30.9,3.1,23.55,7.4,23.5,827.7,157.3,645.4,25.0,176.74
California,Folsom,"73,678",115.4,3.1,9.5,32.6,73.3,827.7,319.0,813.4,107.2,263.46000000000004
Florida,Fort Myers,"64,379",303.0,37.3,40.4,267.2,826.4,827.7,787.5,813.4,310.7,535.405
Arkansas,Fort Smith,"87,483",785.3,5.7,78.9,108.6,592.1,827.7,494.4500000000001,813.4,209.2,405.1725
Massachusetts,Framingham,"69,605",221.2,3.1,10.1,30.2,181.0,827.7,364.9,813.4,143.7,292.735
New Jersey,"Franklin Township, Somerset County","62,885",114.5,1.6,3.2,74.7,35.0,827.7,562.9,813.4,143.1,323.84
Tennessee,Franklin,"64,848",143.4,1.5,17.0,17.0,107.9,827.7,138.8,813.4,63.2,220.35
Maryland,Frederick,"66,808",570.3,1.5,38.9,158.7,371.2,827.7,366.7,813.4,190.1,339.525
Indiana,Gary,"80,472",904.7,46.0,69.6,341.7,447.4,827.7,494.4500000000001,813.4,963.1,449.5875
North Carolina,Gastonia,"72,782",618.3,1.4,39.8,215.7,361.4,827.7,494.4500000000001,813.4,273.4,379.93250000000006
New Jersey,Gloucester Township,"64,898",320.5,3.1,10.8,63.2,246.5,827.7,607.1,813.4,95.5,364.07
Arizona,Goodyear,"67,033",153.7,3.1,17.9,35.8,100.0,827.7,714.6,813.4,159.6,370.14500000000004
New York,Greece Town,"96,752",133.3,3.1,18.6,47.5,67.2,827.7,423.8,813.4,79.6,289.76500000000004
Colorado,Greeley,"96,276",442.5,1.0,41.5,66.5,333.4,827.7,563.0,813.4,146.5,371.715
North Carolina,Greenville,"86,869",523.8,8.1,26.5,194.5,294.7,827.7,494.4500000000001,813.4,137.0,360.6625000000001
South Carolina,Greenville,"60,953",835.1,1.6,34.5,170.6,628.4,827.7,989.3,813.4,342.9,542.16
Connecticut,Greenwich,"61,948",37.1,3.1,3.2,9.7,24.2,594.0,72.6,485.9,35.5,122.49000000000001
Connecticut,Hamden,"61,032",527.6,3.3,4.9,63.9,455.5,827.7,321.1,813.4,158.9,326.6
New Jersey,"Hamilton Township, Mercer County","89,111",211.0,3.1,11.2,110.0,89.8,827.7,548.8,813.4,148.1,333.34
Ohio,Hamilton,"62,791",592.4,4.8,141.7,250.0,195.9,827.7,494.4500000000001,813.4,328.1,371.9725000000001
Indiana,Hammond,"81,010",820.9,7.4,22.2,237.0,554.3,827.7,494.4500000000001,813.4,455.5,419.2425
Texas,Harlingen,"67,112",403.8,6.0,34.3,92.4,271.2,827.7,903.0,813.4,165.4,450.95
Massachusetts,Haverhill,"61,897",675.3,3.2,19.4,84.0,568.7,827.7,634.9,813.4,203.6,427.71
California,Hawthorne,"85,692",743.4,8.2,30.3,358.3,346.6,827.7,671.0,813.4,546.1,449.81500000000005
California,Hemet,"81,213",499.9,1.2,25.9,179.8,293.1,827.7,494.4500000000001,813.4,589.8,380.49750000000006
California,Hesperia,"92,383",435.1,6.5,18.4,74.7,335.6,827.7,992.6,813.4,433.0,493.10499999999996
Oregon,Hillsboro,"94,119",191.2,2.1,36.1,55.2,97.7,827.7,343.2,813.4,122.2,278.69000000000005
Florida,Homestead,"62,785",303.0,6.4,52.6,501.7,185.1,827.7,494.4500000000001,813.4,299.4,385.4175
Alabama,Hoover,"82,332",104.5,2.4,15.8,55.9,30.4,827.7,477.3,813.4,103.2,299.25500000000005
California,Indio,"78,501",573.2,2.5,28.0,194.9,347.8,827.7,494.4500000000001,813.4,622.9,392.27250000000004
Iowa,Iowa City,"69,214",267.3,1.4,41.9,44.8,179.2,827.7,559.1,813.4,88.1,342.62
Tennessee,Jackson,"65,725",303.0,16.7,33.5,290.6,185.1,827.7,494.4500000000001,813.4,205.4,359.2425
Wisconsin,Janesville,"63,642",281.3,3.1,33.0,55.0,190.1,827.7,532.7,813.4,102.1,338.74
Georgia,Johns Creek,"80,037",53.7,3.1,3.7,20.0,30.0,657.2,129.9,507.3,20.0,142.27
Tennessee,Johnson City,"64,342",495.8,1.6,21.8,79.3,393.2,827.7,839.3,813.4,150.8,449.375
Arkansas,Jonesboro,"68,807",428.7,5.8,30.5,113.4,279.0,827.7,494.4500000000001,813.4,148.2,350.81250000000006
California,Jurupa Valley,"97,577",319.7,1.0,12.3,95.3,211.1,827.7,749.2,813.4,680.5,426.58
Michigan,Kalamazoo,"74,797",878.4,12.0,102.9,220.6,542.8,827.7,494.4500000000001,813.4,200.5,411.8875
Louisiana,Kenner,"67,110",207.1,3.0,17.9,90.9,95.4,827.7,576.7,813.4,222.0,343.595
Washington,Kennewick,"76,971",297.5,1.3,42.9,45.5,207.9,827.7,584.6,813.4,165.0,357.3
Wisconsin,Kenosha,"99,993",274.0,1.0,36.0,105.0,132.0,827.7,707.0,813.4,98.0,378.38
Florida,Kissimmee,"62,183",905.4,3.2,54.7,194.6,652.9,827.7,494.4500000000001,813.4,225.1,420.89250000000004
California,La Habra,"61,731",238.1,3.2,11.3,72.9,150.7,827.7,413.1,813.4,171.7,306.045
Indiana,Lafayette,"68,160",597.1,1.5,52.8,101.2,441.6,827.7,494.4500000000001,813.4,290.5,382.6825
California,Laguna Niguel,"64,533",72.8,3.1,9.3,24.8,38.7,827.7,291.3,838.3,54.2,252.87500000000003
California,Lake Forest,"79,166",135.2,3.1,10.1,25.3,99.8,827.7,286.7,813.4,79.6,257.31
Florida,Lakeland,"99,934",465.3,10.0,33.0,144.1,278.2,827.7,494.4500000000001,813.4,185.1,356.4875
New Jersey,Lakewood Township,"93,742",117.3,2.1,1.1,49.1,65.1,827.7,292.3,837.4,46.9,258.00000000000006
California,Lakewood,"81,382",278.9,1.2,16.0,125.3,136.4,827.7,455.9,813.4,380.9,330.47
Pennsylvania,Lancaster,"60,155",773.0,11.6,61.5,345.8,354.1,827.7,729.8,813.4,182.9,449.85999999999996
