,month,year,state,average_temp,monthly_mean_from_1901_to_2000
0,01,1950,Alabama,53.8,45.9
1,01,1950,Arizona,39.6,41.1
2,01,1950,Arkansas,45.6,40.4
3,01,1950,California,39.4,42.7
4,01,1950,Colorado,25.2,24.5
5,01,1950,Connecticut,32.5,27.3
6,01,1950,Delaware,42,34.8
7,01,1950,Florida,64.4,58.3
8,01,1950,Georgia,53.5,46.6
9,01,1950,Idaho,20.4,22.9
10,01,1950,Illinois,33.1,27.4
11,01,1950,Indiana,35.2,28.5
12,01,1950,Iowa,21,20.2
13,01,1950,Kansas,31,30.1
14,01,1950,Kentucky,41.8,35
15,01,1950,Louisiana,57.6,50.2
16,01,1950,Maine,20.6,15.9
17,01,1950,Maryland,41.1,33.9
18,01,1950,Massachusetts,31.6,26.1
19,01,1950,Michigan,23.8,20.7
20,01,1950,Minnesota,5.2,9.7
21,01,1950,Mississippi,54,46.1
22,01,1950,Missouri,35.3,31.3
23,01,1950,Montana,6.8,18.8
24,01,1950,Nebraska,21.2,23.7
25,01,1950,Nevada,28.2,30.5
26,01,1950,New Hampshire,24.7,19.4
27,01,1950,New Jersey,37.8,31.4
28,01,1950,New Mexico,34.8,34
29,01,1950,New York,28.4,22.2
30,01,1950,North Carolina,47.7,40.8
31,01,1950,North Dakota,-2.4,9.6
32,01,1950,Ohio,35.6,28.7
33,01,1950,Oklahoma,39.4,37.8
34,01,1950,Oregon,27,31.1
35,01,1950,Pennsylvania,33.7,27.1
36,01,1950,Rhode Island,34.8,29.1
37,01,1950,South Carolina,51.4,45.1
38,01,1950,South Dakota,9.8,17.5
39,01,1950,Tennessee,45.3,38.3
40,01,1950,Texas,50,46.1
41,01,1950,Utah,24,26.2
42,01,1950,Vermont,24,17.8
43,01,1950,Virginia,43,35.8
44,01,1950,Washington,21.7,29.5
45,01,1950,West Virginia,39.4,31.8
46,01,1950,Wisconsin,15.4,15.3
47,01,1950,Wyoming,17.1,19.5
48,02,1950,Alabama,56,46.5
49,02,1950,Arizona,43.5,42.7
50,02,1950,Arkansas,46.5,41.2
51,02,1950,California,41.9,43.8
52,02,1950,Colorado,27.6,25.6
53,02,1950,Connecticut,29.2,25.8
54,02,1950,Delaware,40.2,33.8
55,02,1950,Florida,64.7,58.6
56,02,1950,Georgia,55.4,47.3
57,02,1950,Idaho,21.8,24.2
58,02,1950,Illinois,30.8,27.3
59,02,1950,Indiana,33,28
60,02,1950,Iowa,18.9,20.2
61,02,1950,Kansas,33.1,31.1
62,02,1950,Kentucky,41.4,35.1
63,02,1950,Louisiana,59.2,50.8
64,02,1950,Maine,14.8,14
65,02,1950,Maryland,39.6,33.1
66,02,1950,Massachusetts,27.9,24.6
67,02,1950,Michigan,20.6,18.6
68,02,1950,Minnesota,4.2,9.3
69,02,1950,Mississippi,55.6,46.7
70,02,1950,Missouri,34.7,31.6
71,02,1950,Montana,10.8,19
72,02,1950,Nebraska,22.3,24.4
73,02,1950,Nevada,31.9,32
74,02,1950,New Hampshire,20.2,17.9
75,02,1950,New Jersey,35,30.1
76,02,1950,New Mexico,38.8,35.8
77,02,1950,New York,24.5,20.3
78,02,1950,North Carolina,48.5,41
79,02,1950,North Dakota,-2,9.2
80,02,1950,Ohio,34.1,27.9
81,02,1950,Oklahoma,41.7,38.9
82,02,1950,Oregon,27.6,32.2
83,02,1950,Pennsylvania,31.6,25.9
84,02,1950,Rhode Island,31,27.4
85,02,1950,South Carolina,53.2,45.7
86,02,1950,South Dakota,10.4,17.5
87,02,1950,Tennessee,46,38.6
88,02,1950,Texas,52.3,47.4
89,02,1950,Utah,26.9,27.8
90,02,1950,Vermont,19.2,15.8
91,02,1950,Virginia,42.7,35.7
92,02,1950,Washington,21.4,30.7
93,02,1950,West Virginia,39,31.6
