state,month,average_temp
Alabama,1,47.94
Alabama,2,47.85
Alabama,3,53.67
Alabama,4,59.98
Alabama,5,67.05
Alabama,6,74.59
Alabama,7,79.2
Alabama,8,79.95
Alabama,9,77.9
Alabama,10,71.35555555555555
Alabama,11,60.15555555555555
Alabama,12,52.166666666666664
Arizona,1,43.37
Arizona,2,45.14
Arizona,3,50.07
Arizona,4,56.64
Arizona,5,63.21
Arizona,6,72.46000000000001
Arizona,7,80.03999999999999
Arizona,8,80.58000000000001
Arizona,9,76.88888888888889
Arizona,10,68.41111111111111
Arizona,11,57.666666666666664
Arizona,12,47.97777777777778
Arkansas,1,42.589999999999996
Arkansas,2,41.589999999999996
Arkansas,3,47.56
Arkansas,4,56.029999999999994
Arkansas,5,64.47
Arkansas,6,73.14
Arkansas,7,78.81
Arkansas,8,79.6
Arkansas,9,76.76666666666667
Arkansas,10,68.85555555555555
Arkansas,11,56.577777777777776
Arkansas,12,47.56666666666667
California,1,45.25
California,2,46.980000000000004
California,3,49.85
California,4,54.489999999999995
California,5,60.010000000000005
California,6,67.62
California,7,75.06
California,8,77.17999999999999
California,9,73.80000000000001
California,10,66.3111111111111
California,11,56.93333333333333
California,12,48.47777777777778
Colorado,1,26.9
Colorado,2,27.43
Colorado,3,32.839999999999996
Colorado,4,40.45
Colorado,5,47.980000000000004
Colorado,6,58.52
Colorado,7,66.84
Colorado,8,67.9
Colorado,9,63.75555555555555
Colorado,10,54.044444444444444
Colorado,11,42.01111111111111
Colorado,12,32.1
Connecticut,1,31.01
Connecticut,2,28.610000000000003
Connecticut,3,33.019999999999996
Connecticut,4,41.88
Connecticut,5,53.06
Connecticut,6,62.970000000000006
Connecticut,7,70.33
Connecticut,8,72.63
Connecticut,9,68.06666666666666
Connecticut,10,59.43333333333333
Connecticut,11,47.81111111111111
Connecticut,12,37.82222222222222
Delaware,1,38.31
Delaware,2,36.3
Delaware,3,40.92
Delaware,4,49.28
Delaware,5,59.470000000000006
Delaware,6,68.83
Delaware,7,75.78
Delaware,8,77.22999999999999
Delaware,9,73.11111111111111
Delaware,10,65.34444444444445
Delaware,11,53.72222222222222
Delaware,12,44.27777777777778
Florida,1,61.19
Florida,2,61.08
Florida,3,64.80999999999999
