states,cities,population,total_crime,murder,rape,robbery,agrv_assault,tot_violent_crime,burglary,larceny,vehicle_theft,tot_prop_crim,arson
 Alabama,Mobile3,"248,431",6217.02,20.13,58.16,177.11,485.85,740.25,530.28,919.27,506.78,,22.94
 Alaska,Anchorage,"296,188",6640.04,9.12,132.01,262.67,799.49,524.15,748.17,919.27,433.86,,20.93
 Arizona,Chandler,"249,355",2589.08,2.01,52.13,56.95,148.38,259.47,314.41,919.27,149.18,,18.37
 Arizona,Gilbert,"242,090",1483.75,2.07,16.11,21.07,46.26,85.51,192.49,919.27,55.76,,12.39
 Arizona,Glendale,"249,273",5037.85,4.81,38.91,192.96,251.53,488.22,637.45,919.27,466.56,,19.26
 Arizona,Mesa,"492,268",2592.49,4.67,51.19,92.23,267.74,415.83,381.5,919.27,179.58,,4.67
 Arizona,Phoenix,"1,608,139",4443.2,9.55,69.46,200.28,481.64,760.93,778.57,919.27,465.46,,11.56
 Arizona,Scottsdale,"251,840",2338.38,1.99,40.9,39.71,74.65,157.24,348.63,919.27,97.68,,9.13
 Arizona,Tucson,"1,532,323",6082.78,8.64,93.55,268.82,430.75,801.77,831.07,919.27,452.17,,29.31
 California,Anaheim,"353,400",2997.74,2.83,32.54,135.82,183.36,354.56,382.29,919.27,439.16,,12.73
 California,Bakersfield,"381,154",4618.34,10.76,24.14,197.56,246.88,479.33,962.08,919.27,728.58,,70.58
 California,Chula Vista,"271,109",1738.79,0.74,22.87,112.13,162.3,298.04,236.07,915.5,280.7,,8.48
 California,Fremont,"236,368",2343.8,0.85,28.77,79.11,73.61,182.34,284.73,919.27,365.95,,11.0
 California,Fresno,"526,371",4447.63,10.64,33.06,182.0,339.3,565.0,693.24,919.27,529.85,,41.23
 California,Irvine,"276,115",1381.31,0.72,16.66,19.92,23.9,61.21,227.08,919.27,70.26,,3.62
 California,Long Beach,"471,397",3357.25,4.67,43.06,262.41,347.69,657.83,586.55,919.27,578.92,,26.94
 California,Los Angeles,"3,898,747",3332.52,7.01,61.27,269.87,423.17,761.31,415.96,919.27,478.97,,35.29
 California,Oakland,"424,915",7328.29,16.24,94.14,629.77,559.17,524.15,617.06,919.27,433.86,,46.13
 California,Riverside,"328,023",3589.38,3.66,50.61,165.84,288.7,508.81,510.03,919.27,527.4,,22.25
 California,Sacramento,"499,997",3654.02,7.8,19.8,220.0,428.0,675.6,577.6,919.27,543.6,,41.8
 California,San Bernardino,"217,259",5189.66,15.65,72.72,403.67,799.05,524.15,983.16,919.27,433.86,,30.84
 California,San Diego,"1,386,932",2220.67,2.46,39.25,99.01,225.89,366.61,268.03,919.27,360.57,,11.09
 California,San Francisco,"881,255",6917.4,6.35,41.65,365.39,301.62,715.0,560.0,919.27,548.54,,34.38
 California,San Jose,"1,013,240",2861.02,3.08,55.03,132.62,212.91,403.65,378.4,919.27,777.62,,16.67
 California,Santa Ana,"335,699",2596.67,6.26,56.0,180.22,246.05,488.53,276.74,919.27,589.81,,17.87
 California,Santa Clara,"216,350",1592.79,1.85,18.49,56.39,85.97,162.7,311.53,923.04,189.51,,6.01
 California,Stockton4,"309,566",5109.09,17.77,49.75,390.22,956.82,524.15,691.29,919.27,661.89,,67.19
 Colorado,Aurora,"368,018",3630.53,8.15,86.68,184.5,329.06,608.39,454.05,919.27,594.81,,18.48
 Colorado,Colorado Springs,"472,958",3765.25,6.13,103.39,101.91,312.71,524.15,530.28,919.27,451.41,,24.32
 Colorado,Denver,"706,616",4360.93,8.35,98.92,174.35,393.99,675.61,612.92,919.27,786.85,,18.26
 District of Columbia,"Washington, D.C.","693,972",5104.96,16.72,63.84,338.77,529.42,948.74,260.53,919.27,366.73,,18.37
 Florida,Hialeah,"238,260",2422.14,2.52,13.85,64.64,117.52,198.52,248.89,919.27,287.5,,10.07
 Florida,Jacksonville,"894,638",4168.73,12.18,60.14,153.81,405.19,631.32,631.09,919.27,326.95,,10.73
 Florida,Miami,"463,009",4750.89,11.23,22.68,211.23,475.8,720.94,526.99,919.27,396.32,,15.77
 Florida,Orlando,"283,982",6206.38,8.1,64.44,213.04,458.48,744.06,840.9,919.27,488.41,,7.75
 Florida,St. Petersburg,"263,712",5029.35,7.58,51.57,189.22,450.11,698.49,671.95,919.27,370.86,,18.2
