states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Pennsylvania,"Abington Township, Montgomery County","55,731",197.4,1.8,14.4,70.0,111.2,1979.1,296.1,1650.8,32.3
Oregon,Albany,"51,084",86.1,0.0,19.6,45.0,21.5,3092.9,438.5,2470.4,184.0
Louisiana,Alexandria,"48,449",1682.2,18.6,28.9,293.1,1341.6,7492.4,2010.4,5102.3,379.8
California,Aliso Viejo,"48,999",87.8,0.0,0.0,12.2,75.5,847.0,208.2,612.3,26.5
Florida,Altamonte Springs,"42,296",335.7,2.4,21.3,82.8,229.3,3057.0,427.9,2463.6,165.5
Pennsylvania,Altoona,"46,404",351.3,4.3,66.8,69.0,211.2,1946.0,487.0,1381.3,77.6
Iowa,Ames,"59,271",131.6,0.0,54.0,11.8,65.8,2453.1,491.0,1909.9,52.3
Indiana,Anderson,"56,132",481.0,1.8,96.2,133.6,249.4,5095.1,1142.0,3584.4,368.8
Iowa,Ankeny,"46,482",73.1,0.0,17.2,15.1,40.9,1385.5,305.5,1039.1,40.9
Florida,Apopka,"43,046",339.2,2.3,30.2,137.1,169.6,3057.2,648.1,2269.7,139.4
Minnesota,Apple Valley,"49,827",283.1,4.0,,32.1,36.1,2239.7,218.8,1968.8,52.2
California,Arcadia,"57,295",99.5,0.0,1.7,38.4,59.3,2422.5,591.7,1701.7,129.2
Massachusetts,Arlington,"43,675",116.8,0.0,6.9,20.6,89.3,1179.2,229.0,925.0,25.2
Massachusetts,Attleboro,"44,033",322.5,0.0,43.1,52.2,227.1,2411.8,556.4,1710.1,145.3
Alabama,Auburn,"54,785",240.9,5.5,23.7,45.6,166.1,3502.8,763.0,2646.7,93.1
California,Azusa,"47,111",467.0,2.1,12.7,87.0,365.1,2555.7,649.5,1564.4,341.7
Massachusetts,Barnstable,"45,570",621.0,2.2,48.3,63.6,506.9,2784.7,829.5,1858.7,96.6
Illinois,Bartlett,"41,477",74.7,0.0,9.6,21.7,43.4,764.3,69.9,670.3,24.1
Tennessee,Bartlett,"55,510",237.8,0.0,12.6,34.2,191.0,1401.5,225.2,1124.1,52.2
