State.Name,Total.Math,Total.Verbal,Academic Subjects.English.Average GPA,Academic Subjects.Mathematics.Average GPA
Alabama,541,547,3.67,3.47
Alaska,505,509,3.49,3.14
Arizona,529,523,3.52,3.29
Arkansas,572,569,3.73,3.64
California,507,496,3.42,3.1
Colorado,588,582,3.69,3.49
Connecticut,506,504,3.33,3.16
Delaware,462,462,3.34,3.21
District Of Columbia,440,441,3.18,3.05
Florida,481,486,3.45,3.16
Georgia,486,490,3.47,3.26
Hawaii,509,487,3.4,3.15
Idaho,463,467,3.4,3.09
Illinois,616,599,3.68,3.57
Indiana,501,496,3.41,3.17
Iowa,602,590,3.77,3.63
Kansas,594,588,3.72,3.54
Kentucky,588,588,3.77,3.67
Louisiana,561,564,3.65,3.5
Maine,472,468,3.58,3.4
Maryland,493,490,3.35,3.11
Massachusetts,530,516,3.34,3.21
Michigan,610,594,3.76,3.66
Minnesota,608,595,3.74,3.57
Mississippi,567,582,3.79,3.72
Missouri,599,596,3.7,3.59
Montana,558,561,3.69,3.4
Nebraska,592,589,3.77,3.57
Nevada,496,494,3.44,3.04
New Hampshire,531,525,3.42,3.19
New Jersey,521,500,3.39,3.25
New Mexico,545,551,3.58,3.36
New York,502,489,3.41,3.15
North Carolina,505,498,3.54,3.34
North Dakota,609,598,3.88,3.76
Ohio,564,557,3.61,3.49
Oklahoma,570,576,3.74,3.6
Oregon,523,524,3.55,3.31
Pennsylvania,505,499,3.51,3.33
Puerto Rico,450,462,3.68,3.52
Rhode Island,495,494,3.34,3.13
South Carolina,488,488,3.51,3.32
South Dakota,599,593,3.79,3.68
Tennessee,574,581,3.7,3.6
Texas,487,470,3.44,3.27
Utah,575,579,3.77,3.6
Vermont,524,522,3.5,3.27
Virgin Islands,390,415,3.16,2.89
Virginia,517,518,3.47,3.17
Washington,511,502,3.5,3.22
West Virginia,500,509,3.71,3.47
Wisconsin,606,591,3.77,3.64
Wyoming,587,588,3.84,3.64
