states,cities,safety_index
Pennsylvania,"Abington Township, Montgomery County",431.19000000000005
Oregon,Albany,622.5900000000001
Louisiana,Alexandria,1778.28
California,Aliso Viejo,188.38
Florida,Altamonte Springs,653.135
Pennsylvania,Altoona,447.795
Iowa,Ames,523.7950000000001
Indiana,Anderson,1081.48
Iowa,Ankeny,295.605
Florida,Apopka,665.45
Minnesota,Apple Valley,462.2
California,Arcadia,507.63000000000005
Massachusetts,Arlington,259.655
Massachusetts,Attleboro,531.9799999999999
Alabama,Auburn,757.415
California,Azusa,557.3900000000001
Massachusetts,Barnstable,671.5000000000001
Illinois,Bartlett,162.38000000000002
Tennessee,Bartlett,317.06
Ohio,Beavercreek,485.055
Texas,Bedford,591.125
California,Bell Gardens,280.795
Nebraska,Bellevue,441.56500000000005
Illinois,Berwyn,537.675
Massachusetts,Beverly,352.545
Massachusetts,Billerica,249.05500000000004
Mississippi,Biloxi,1099.535
New York,Binghamton,1123.06
Virginia,Blacksburg,234.48
Minnesota,Blaine,677.35
Michigan,Bloomfield Township,232.42
New Jersey,Bloomfield,462.735
Missouri,Blue Springs,690.0100000000001
Ohio,Boardman,861.295
Utah,Bountiful,438.37
Maryland,Bowie,344.195
Kentucky,Bowling Green,1069.965
Florida,Bradenton,913.575
California,Brea,671.8750000000001
California,Brentwood,464.03
New Jersey,Bridgewater Township,299.65500000000003
Pennsylvania,Bristol Township,656.7900000000001
Massachusetts,Brookline,294.785
Colorado,Broomfield,419.4500000000001
Arizona,Buckeye,554.46
Illinois,Buffalo Grove,183.64
Arizona,Bullhead City,839.5749999999999
North Carolina,Burlington,1221.6750000000002
Idaho,Caldwell,537.335
California,Campbell,825.7450000000001
Illinois,Carol Stream,255.46
Arizona,Casa Grande,1227.78
Wyoming,Casper,718.93
Colorado,Castle Rock,280.19000000000005
California,Cathedral City,621.6650000000001
Texas,Cedar Hill,746.7850000000001
Texas,Cedar Park,326.89
California,Ceres,817.6850000000001
California,Cerritos,770.1
North Carolina,Chapel Hill,548.6800000000001
Virginia,Charlottesville,729.125
Michigan,Chesterfield Township,446.93
Missouri,Chesterfield,324.63500000000005
Massachusetts,Chicopee,686.5350000000001
Ohio,Cleveland Heights,770.635
Tennessee,Cleveland,1202.225
California,Coachella,749.615
Florida,Coconut Creek,619.9250000000001
Idaho,Coeur d'Alene,952.885
Ohio,Colerain Township,551.115
Tennessee,Collierville,424.12500000000006
California,Colton,707.905
Indiana,Columbus,979.195
Colorado,Commerce City,637.645
New Hampshire,Concord,633.4350000000001
Texas,Conroe,745.78
Texas,Coppell,350.795
Florida,Coral Gables,969.84
Oregon,Corvallis,544.105
California,Covina,701.605
Illinois,Crystal Lake,416.575
California,Cupertino,280.16
Florida,Cutler Bay,922.395
Ohio,Cuyahoga Falls,536.7850000000001
California,Cypress,430.00500000000005
California,Danville,215.325
Virginia,Danville,969.3250000000002
Illinois,De Kalb,672.32
Michigan,Dearborn Heights,461.235
Alabama,Decatur,1133.18
California,Delano,555.6149999999999
Illinois,Des Plaines,335.735
Texas,Desoto,761.7
California,Diamond Bar,362.145
Florida,Doral,994.8800000000002
Illinois,Downers Grove,430.63000000000005
Utah,Draper,416.07
California,Dublin,334.535
Ohio,Dublin,269.36
Iowa,Dubuque,549.54
Georgia,Dunwoody,818.6700000000001
New Jersey,East Brunswick Township,371.50500000000005
Connecticut,East Hartford,639.2200000000001
Michigan,East Lansing,436.35
Rhode Island,East Providence,371.22
California,Eastvale,366.265
Minnesota,Edina,367.295
Washington,Edmonds,526.145
New Jersey,Egg Harbor Township,434.935
California,El Centro,1212.115
Illinois,Elmhurst,291.7150000000001
Connecticut,Enfield,386.445
Oklahoma,Enid,861.32
Texas,Euless,609.6450000000001
Massachusetts,Everett,496.865
New Jersey,Evesham Township,316.57000000000005
Ohio,Fairfield,681.415
New Mexico,Farmington,971.46
Massachusetts,Fitchburg,662.245
Missouri,Florissant,450.955
Wisconsin,Fond du Lac,618.2049999999999
Florida,Fort Pierce,1289.405
California,Fountain Valley,542.4050000000001
New York,Freeport Village,468.225
Texas,Galveston,1082.585
California,Gardena,446.295
Texas,Georgetown,392.8
California,Gilroy,719.1049999999999
California,Glendora,520.285
Illinois,Glenview,234.04
North Dakota,Grand Forks,555.83
Nebraska,Grand Island,985.74
Colorado,Grand Junction,968.235
Texas,Grapevine,569.8050000000001
Montana,Great Falls,968.665
New York,Greenburgh Town,282.76500000000004
Indiana,Greenwood,755.32
New Jersey,Hackensack,420.7925
Maryland,Hagerstown,777.275
Texas,Haltom City,700.185
New York,Hamburg Town,589.3900000000001
California,Hanford,678.1850000000001
Pennsylvania,Harrisburg,1163.755
Virginia,Harrisonburg,458.185
Mississippi,Hattiesburg,1176.225
Pennsylvania,Haverford Township,247.87
New York,Hempstead Village,454.57499999999993
Tennessee,Hendersonville,396.235
North Carolina,Hickory,1392.55
California,Highland,642.4399999999999
New Jersey,Hoboken,415.815
Illinois,Hoffman Estates,293.895
Massachusetts,Holyoke,1387.97
