CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
1001,Alabama,autauga,55036,26899,28137,2.7,75.4,18.9,0.3,0.9,0.0,41016,55317,2838,27824,2024,13.7,20.1,35.3,18.0,23.2,8.1,15.4,86.0,9.6,0.1,0.6,1.3,2.5,25.8,24112,74.1,20.2,5.6,0.1,5.2
1003,Alabama,baldwin,203360,99527,103833,4.4,83.1,9.5,0.8,0.7,0.0,155376,52562,1348,29364,735,11.8,16.1,35.7,18.2,25.6,9.7,10.8,84.7,7.6,0.1,0.8,1.1,5.6,27.0,89527,80.7,12.9,6.3,0.1,5.5
1009,Alabama,blount,57667,28490,29177,9.0,87.4,1.5,0.3,0.1,0.0,42513,47412,2630,22021,850,15.6,25.4,28.5,12.9,23.3,15.8,19.5,86.8,10.2,0.1,0.4,0.4,2.1,35.0,21380,83.9,11.9,4.0,0.1,4.9
1015,Alabama,calhoun,115527,55593,59934,3.6,72.7,20.4,0.2,1.0,0.0,88383,43686,1491,23638,793,18.6,26.6,29.0,17.5,23.7,10.4,19.4,85.0,9.2,0.2,1.3,1.1,3.2,24.8,47392,74.9,19.9,5.1,0.1,10.1
1031,Alabama,coffee,51073,25225,25848,6.7,71.0,17.1,1.0,1.3,0.0,38026,49821,1945,26216,950,16.1,26.3,31.6,17.3,21.4,13.1,16.7,86.6,8.1,0.0,1.0,1.4,2.8,21.7,21639,73.6,20.7,5.6,0.1,6.0
1033,Alabama,colbert,54435,26143,28292,2.4,78.8,15.9,0.7,0.5,0.0,42195,45477,1959,23675,816,16.8,24.1,27.1,15.4,26.0,11.2,20.3,89.1,7.3,0.1,0.7,0.8,2.0,23.1,22180,78.1,16.1,5.5,0.3,6.9
1043,Alabama,cullman,81703,40223,41480,4.2,92.3,1.1,0.4,0.6,0.0,62012,40997,1715,21857,729,16.4,19.6,29.3,14.6,23.4,14.0,18.6,88.3,8.4,0.1,0.6,0.6,2.0,26.5,32072,81.3,11.9,6.3,0.4,5.8
1049,Alabama,dekalb,71194,35328,35866,14.3,80.8,1.4,1.2,0.3,0.1,49579,38842,2154,20020,899,21.5,31.0,23.7,15.2,20.8,12.4,28.0,86.5,9.8,0.0,0.9,0.6,2.1,23.2,28416,78.0,12.1,9.7,0.1,5.1
1051,Alabama,elmore,80989,39357,41632,2.9,73.4,21.2,0.3,0.6,0.0,61966,54981,2614,26251,957,13.5,20.4,34.8,13.2,26.3,11.0,14.7,86.2,10.2,0.1,0.6,0.6,2.2,28.0,33054,72.9,21.4,5.6,0.1,7.3
1055,Alabama,etowah,103132,49738,53394,3.7,78.3,15.4,0.5,0.7,0.1,78727,42064,1487,22278,640,17.9,28.7,29.7,18.5,21.8,9.4,20.5,84.8,9.2,0.3,0.6,0.7,4.4,24.0,41412,80.3,13.9,5.5,0.2,7.6
1069,Alabama,houston,104108,49905,54203,3.2,67.2,26.5,0.3,0.8,0.0,78486,42803,919,24781,391,18.5,29.5,31.1,18.6,25.7,10.2,14.3,89.2,6.9,0.1,0.7,0.8,2.3,21.3,44108,81.9,12.1,5.8,0.2,7.6
1071,Alabama,jackson,52326,25712,26614,2.9,89.3,3.2,1.0,0.5,0.1,40672,39281,1994,20946,910,19.0,27.4,26.1,12.9,21.5,11.3,28.1,87.0,8.4,0.1,1.3,0.9,2.3,25.7,20261,77.4,15.5,7.0,0.2,7.7
1073,Alabama,jefferson,659460,312333,347127,3.7,50.4,42.4,0.2,1.5,0.0,491022,49321,913,29456,452,17.6,25.6,38.8,16.9,25.3,7.3,11.6,84.4,9.4,0.9,1.4,1.0,2.8,23.8,300739,81.8,13.5,4.5,0.2,7.7
1077,Alabama,lauderdale,92590,44263,48327,2.5,84.9,9.8,0.4,0.7,0.0,72887,44888,1370,25803,908,16.3,21.9,31.2,18.6,24.4,10.6,15.2,88.0,7.7,0.2,1.7,0.7,1.8,24.1,39857,77.6,15.6,6.6,0.1,6.6
1081,Alabama,lee,156597,77172,79425,3.7,67.6,22.9,0.1,3.8,0.0,117422,47564,1712,26170,938,22.0,24.0,41.0,16.6,22.7,7.1,12.6,84.7,8.1,0.8,1.9,1.0,3.5,22.2,71677,77.1,18.3,4.4,0.2,5.7
1083,Alabama,limestone,91695,45889,45806,5.8,77.2,13.1,0.7,1.2,0.0,68544,52831,2263,26685,1095,14.8,20.0,36.1,15.5,21.5,11.3,15.7,88.3,7.5,0.1,0.5,0.8,2.8,25.7,38944,77.3,16.3,6.2,0.2,7.1
1089,Alabama,madison,353213,172568,180645,4.7,65.1,24.0,0.6,2.5,0.1,265022,61318,1430,34232,709,13.6,20.0,46.3,15.2,21.6,6.4,10.5,87.7,6.3,0.2,0.8,1.5,3.4,21.3,169756,76.3,19.0,4.5,0.2,6.5
