Unnamed: 0,month,year,state,average_temp,monthly_mean_from_1901_to_2000
36288,1,2013,Alabama,50.4,45.8
36289,1,2013,Arizona,40.5,41.1
36290,1,2013,Arkansas,44.2,40.4
36291,1,2013,California,42.6,42.7
36292,1,2013,Colorado,24.4,24.5
36293,1,2013,Connecticut,32.4,27.4
36294,1,2013,Delaware,40.8,34.8
36295,1,2013,Florida,63.0,58.3
36296,1,2013,Georgia,52.3,46.6
36297,1,2013,Idaho,23.0,23.0
36298,1,2013,Illinois,33.0,27.4
36299,1,2013,Indiana,34.0,28.4
36300,1,2013,Iowa,24.8,20.2
36301,1,2013,Kansas,33.4,30.1
36302,1,2013,Kentucky,39.8,34.9
36303,1,2013,Louisiana,53.8,50.2
36304,1,2013,Maine,20.1,15.9
36305,1,2013,Maryland,39.2,33.9
36306,1,2013,Massachusetts,31.1,26.1
36307,1,2013,Michigan,26.7,20.7
36308,1,2013,Minnesota,14.1,9.7
36309,1,2013,Mississippi,50.4,46.1
36310,1,2013,Missouri,36.3,31.3
36311,1,2013,Montana,21.6,18.7
36312,1,2013,Nebraska,26.6,23.8
36313,1,2013,Nevada,28.6,30.5
36314,1,2013,New Hampshire,24.4,19.4
36315,1,2013,New Jersey,37.2,31.3
36316,1,2013,New Mexico,34.0,34.0
36317,1,2013,New York,28.0,22.3
36318,1,2013,North Carolina,45.8,40.7
36319,1,2013,North Dakota,12.4,9.7
36320,1,2013,Ohio,34.1,28.7
36321,1,2013,Oklahoma,41.0,37.8
36322,1,2013,Oregon,30.6,31.0
36323,1,2013,Pennsylvania,32.4,27.1
36324,1,2013,Rhode Island,34.0,29.1
36325,1,2013,South Carolina,50.8,45.1
36326,1,2013,South Dakota,20.4,17.4
36327,1,2013,Tennessee,43.3,38.3
36328,1,2013,Texas,49.5,46.2
36329,1,2013,Utah,23.8,26.2
36330,1,2013,Vermont,23.0,17.8
36331,1,2013,Virginia,40.7,35.8
36332,1,2013,Washington,30.8,29.5
36333,1,2013,West Virginia,36.6,31.9
36334,1,2013,Wisconsin,21.0,15.4
36335,1,2013,Wyoming,21.0,19.5
36336,2,2013,Alabama,49.0,46.6
36337,2,2013,Arizona,40.4,42.7
36338,2,2013,Arkansas,42.7,41.2
36339,2,2013,California,43.7,43.8
36340,2,2013,Colorado,24.3,25.6
36341,2,2013,Connecticut,29.0,25.8
36342,2,2013,Delaware,36.6,33.8
36343,2,2013,Florida,62.9,58.6
36344,2,2013,Georgia,50.6,47.3
36345,2,2013,Idaho,23.8,24.2
36346,2,2013,Illinois,29.6,27.3
36347,2,2013,Indiana,30.0,27.9
36348,2,2013,Iowa,23.1,20.2
36349,2,2013,Kansas,33.0,31.2
36350,2,2013,Kentucky,36.8,35.1
36351,2,2013,Louisiana,53.4,50.9
36352,2,2013,Maine,17.9,14.1
36353,2,2013,Maryland,35.4,33.1
36354,2,2013,Massachusetts,28.0,24.6
36355,2,2013,Michigan,22.0,18.7
36356,2,2013,Minnesota,12.2,9.3
36357,2,2013,Mississippi,49.0,46.7
36358,2,2013,Missouri,34.1,31.6
36359,2,2013,Montana,24.6,19.1
36360,2,2013,Nebraska,27.2,24.5
36361,2,2013,Nevada,29.6,32.0
36362,2,2013,New Hampshire,21.6,17.8
36363,2,2013,New Jersey,33.4,30.1
36364,2,2013,New Mexico,34.0,35.7
36365,2,2013,New York,23.8,20.3
36366,2,2013,North Carolina,43.0,41.0
36367,2,2013,North Dakota,14.1,9.1
36368,2,2013,Ohio,29.8,27.9
36369,2,2013,Oklahoma,40.4,38.9
36370,2,2013,Oregon,32.4,32.2
36371,2,2013,Pennsylvania,28.2,25.9
36372,2,2013,Rhode Island,30.3,27.5
36373,2,2013,South Carolina,48.4,45.7
36374,2,2013,South Dakota,21.6,17.5
36375,2,2013,Tennessee,40.9,38.7
36376,2,2013,Texas,49.8,47.4
36377,2,2013,Utah,23.6,27.8
36378,2,2013,Vermont,20.0,15.8
36379,2,2013,Virginia,37.6,35.7
36380,2,2013,Washington,32.3,30.7
36381,2,2013,West Virginia,33.1,31.6
36382,2,2013,Wisconsin,16.9,14.4
36383,2,2013,Wyoming,21.2,20.3
36384,3,2013,Alabama,48.9,51.6
36385,3,2013,Arizona,48.5,47.1
36386,3,2013,Arkansas,45.0,47.2
36387,3,2013,California,49.6,47.1
36388,3,2013,Colorado,30.4,30.6
36389,3,2013,Connecticut,32.6,30.9
36390,3,2013,Delaware,38.2,38.5
36391,3,2013,Florida,60.4,61.7
36392,3,2013,Georgia,49.5,52.0
36393,3,2013,Idaho,31.3,29.5
36394,3,2013,Illinois,32.1,34.5
36395,3,2013,Indiana,32.5,34.5
36396,3,2013,Iowa,26.6,28.7
36397,3,2013,Kansas,37.0,38.1
36398,3,2013,Kentucky,38.1,40.9
36399,3,2013,Louisiana,54.8,55.8
36400,3,2013,Maine,25.2,20.5
36401,3,2013,Maryland,37.1,38.1
36402,3,2013,Massachusetts,31.6,29.6
36403,3,2013,Michigan,24.4,24.1
36404,3,2013,Minnesota,16.8,18.7
36405,3,2013,Mississippi,49.7,52.0
36406,3,2013,Missouri,36.4,38.7
36407,3,2013,Montana,29.0,25.4
36408,3,2013,Nebraska,31.8,31.3
36409,3,2013,Nevada,39.0,36.8
36410,3,2013,New Hampshire,27.0,23.7
36411,3,2013,New Jersey,35.7,34.9
36412,3,2013,New Mexico,41.4,40.7
36413,3,2013,New York,27.0,25.7
36414,3,2013,North Carolina,42.9,45.6
36415,3,2013,North Dakota,17.2,18.3
36416,3,2013,Ohio,32.1,33.7
36417,3,2013,Oklahoma,44.3,45.3
36418,3,2013,Oregon,38.0,36.2
36419,3,2013,Pennsylvania,30.6,31.2
36420,3,2013,Rhode Island,33.6,31.9
36421,3,2013,South Carolina,47.5,50.3
36422,3,2013,South Dakota,26.0,25.4
36423,3,2013,Tennessee,41.8,44.3
36424,3,2013,Texas,54.4,52.8
36425,3,2013,Utah,34.3,33.8
36426,3,2013,Vermont,25.5,21.9
36427,3,2013,Virginia,38.4,40.6
36428,3,2013,Washington,37.8,35.8
36429,3,2013,West Virginia,34.4,36.9
36430,3,2013,Wisconsin,20.4,22.3
36431,3,2013,Wyoming,27.0,25.7
36432,4,2013,Alabama,56.0,59.0
36433,4,2013,Arizona,57.1,53.1
36434,4,2013,Arkansas,52.6,55.9
36435,4,2013,California,56.0,51.4
36436,4,2013,Colorado,37.4,38.1
36437,4,2013,Connecticut,41.6,40.7
36438,4,2013,Delaware,47.6,47.4
36439,4,2013,Florida,65.2,66.6
36440,4,2013,Georgia,56.6,59.2
36441,4,2013,Idaho,37.6,36.8
36442,4,2013,Illinois,42.2,45.6
36443,4,2013,Indiana,42.8,45.1
36444,4,2013,Iowa,36.4,41.4
36445,4,2013,Kansas,44.4,48.0
36446,4,2013,Kentucky,47.3,50.3
36447,4,2013,Louisiana,59.9,62.6
36448,4,2013,Maine,34.7,32.1
36449,4,2013,Maryland,47.0,47.3
36450,4,2013,Massachusetts,40.6,39.4
36451,4,2013,Michigan,33.6,35.4
36452,4,2013,Minnesota,27.3,33.3
36453,4,2013,Mississippi,56.2,59.5
36454,4,2013,Missouri,45.2,49.1
36455,4,2013,Montana,33.7,35.0
36456,4,2013,Nebraska,38.6,41.7
36457,4,2013,Nevada,46.6,43.1
36458,4,2013,New Hampshire,36.4,34.8
36459,4,2013,New Jersey,45.0,44.3
36460,4,2013,New Mexico,49.6,47.4
36461,4,2013,New York,37.0,36.7
36462,4,2013,North Carolina,51.4,53.6
36463,4,2013,North Dakota,24.4,33.0
36464,4,2013,Ohio,42.8,43.8
36465,4,2013,Oklahoma,51.1,54.4
36466,4,2013,Oregon,42.8,41.2
36467,4,2013,Pennsylvania,41.2,41.3
36468,4,2013,Rhode Island,42.4,40.9
36469,4,2013,South Carolina,55.2,57.8
36470,4,2013,South Dakota,32.5,37.8
36471,4,2013,Tennessee,49.8,53.1
36472,4,2013,Texas,60.1,60.6
36473,4,2013,Utah,43.0,41.4
36474,4,2013,Vermont,35.2,33.6
36475,4,2013,Virginia,48.0,49.3
36476,4,2013,Washington,42.4,41.8
36477,4,2013,West Virginia,44.6,45.9
36478,4,2013,Wisconsin,30.8,35.4
36479,4,2013,Wyoming,33.0,34.0
36480,5,2013,Alabama,65.2,66.7
36481,5,2013,Arizona,63.4,60.9
36482,5,2013,Arkansas,62.8,64.5
36483,5,2013,California,61.0,57.4
36484,5,2013,Colorado,46.3,47.2
36485,5,2013,Connecticut,52.8,51.4
36486,5,2013,Delaware,59.2,57.1
36487,5,2013,Florida,72.7,72.2
36488,5,2013,Georgia,65.6,66.9
36489,5,2013,Idaho,45.6,45.2
36490,5,2013,Illinois,57.0,56.8
36491,5,2013,Indiana,57.6,56.0
36492,5,2013,Iowa,51.4,53.9
36493,5,2013,Kansas,55.8,58.4
36494,5,2013,Kentucky,60.0,59.8
36495,5,2013,Louisiana,68.1,69.8
36496,5,2013,Maine,45.7,44.4
36497,5,2013,Maryland,58.6,57.2
36498,5,2013,Massachusetts,52.0,50.2
36499,5,2013,Michigan,48.0,47.7
36500,5,2013,Minnesota,43.6,47.8
36501,5,2013,Mississippi,65.5,67.4
36502,5,2013,Missouri,57.8,59.4
36503,5,2013,Montana,44.4,45.5
36504,5,2013,Nebraska,50.5,53.0
36505,5,2013,Nevada,52.4,50.7
36506,5,2013,New Hampshire,48.4,46.6
36507,5,2013,New Jersey,56.2,54.6
36508,5,2013,New Mexico,57.1,55.8
36509,5,2013,New York,50.3,48.6
36510,5,2013,North Carolina,61.9,62.1
36511,5,2013,North Dakota,42.4,47.5
36512,5,2013,Ohio,56.9,54.6
36513,5,2013,Oklahoma,60.8,63.7
36514,5,2013,Oregon,48.6,47.3
36515,5,2013,Pennsylvania,53.8,52.2
36516,5,2013,Rhode Island,53.1,50.9
36517,5,2013,South Carolina,65.0,66.1
36518,5,2013,South Dakota,46.4,50.4
36519,5,2013,Tennessee,60.9,61.9
36520,5,2013,Texas,67.8,68.7
36521,5,2013,Utah,50.5,50.1
36522,5,2013,Vermont,48.0,46.1
36523,5,2013,Virginia,59.2,58.5
36524,5,2013,Washington,49.1,48.5
36525,5,2013,West Virginia,56.7,55.7
36526,5,2013,Wisconsin,46.5,48.6
36527,5,2013,Wyoming,42.6,43.7
36528,6,2013,Alabama,73.1,74.1
36529,6,2013,Arizona,73.4,69.7
36530,6,2013,Arkansas,72.1,72.5
36531,6,2013,California,68.1,64.5
36532,6,2013,Colorado,59.2,56.5
36533,6,2013,Connecticut,62.9,61.1
36534,6,2013,Delaware,68.6,66.4
36535,6,2013,Florida,77.6,77.3
36536,6,2013,Georgia,73.1,74.2
36537,6,2013,Idaho,55.2,53.0
36538,6,2013,Illinois,67.7,66.8
36539,6,2013,Indiana,67.6,65.9
36540,6,2013,Iowa,64.0,64.5
36541,6,2013,Kansas,69.2,68.3
36542,6,2013,Kentucky,68.9,68.5
36543,6,2013,Louisiana,76.3,76.6
36544,6,2013,Maine,56.6,55.2
36545,6,2013,Maryland,67.8,66.5
36546,6,2013,Massachusetts,62.4,60.1
36547,6,2013,Michigan,60.2,58.5
36548,6,2013,Minnesota,58.6,59.0
36549,6,2013,Mississippi,73.9,74.8
36550,6,2013,Missouri,68.2,68.6
36551,6,2013,Montana,55.4,54.2
36552,6,2013,Nebraska,63.6,63.3
36553,6,2013,Nevada,62.6,59.5
36554,6,2013,New Hampshire,59.0,57.0
36555,6,2013,New Jersey,66.0,64.1
36556,6,2013,New Mexico,67.8,64.6
36557,6,2013,New York,60.6,59.0
36558,6,2013,North Carolina,69.7,70.0
36559,6,2013,North Dakota,58.4,58.4
36560,6,2013,Ohio,66.4,64.5
36561,6,2013,Oklahoma,72.6,72.5
36562,6,2013,Oregon,56.0,53.9
36563,6,2013,Pennsylvania,63.2,61.9
36564,6,2013,Rhode Island,63.2,60.3
36565,6,2013,South Carolina,72.6,73.6
36566,6,2013,South Dakota,60.6,60.9
36567,6,2013,Tennessee,69.6,70.0
36568,6,2013,Texas,77.2,76.1
36569,6,2013,Utah,62.6,59.3
36570,6,2013,Vermont,58.6,56.7
36571,6,2013,Virginia,67.4,67.1
