City,State,County
New York,ny,bronx
New York,ny,richmond
New York,ny,new york
New York,ny,kings
New York,ny,queens
Los Angeles,ca,los angeles
Chicago,il,cook
Chicago,il,dupage
Houston,tx,harris
Houston,tx,fort bend
Houston,tx,montgomery
Phoenix,az,maricopa
Philadelphia,pa,philadelphia
San Antonio,tx,bexar
San Diego,ca,san diego
Dallas,tx,rockwall
Dallas,tx,denton
Dallas,tx,kaufman
Dallas,tx,dallas
Dallas,tx,collin
San Jose,ca,santa clara
Austin,tx,williamson
Austin,tx,travis
Austin,tx,hays
Jacksonville,fl,duval
Fort Worth,tx,wise
Fort Worth,tx,denton
Fort Worth,tx,parker
Fort Worth,tx,tarrant
Columbus,oh,delaware
Columbus,oh,franklin
Columbus,oh,fairfield
Indianapolis,in,marion
Charlotte,nc,mecklenburg
San Francisco,ca,san francisco
Seattle,wa,king
Denver,co,denver
Washington,dc,district of columbia
Nashville,tn,davidson
Oklahoma City,ok,canadian
Oklahoma City,ok,cleveland
Oklahoma City,ok,oklahoma
El Paso,tx,el paso
Boston,ma,suffolk
Portland,or,multnomah
Portland,or,clackamas
Portland,or,washington
Las Vegas,nv,clark
Detroit,mi,wayne
Memphis,tn,shelby
Louisville,ky,jefferson
Baltimore,md,baltimore
Milwaukee,wi,milwaukee
Albuquerque,nm,bernalillo
Tucson,az,pima
Fresno,ca,fresno
Sacramento,ca,sacramento
Kansas City,mo,clay
Kansas City,mo,platte
Kansas City,mo,jackson
Kansas City,mo,cass
Mesa,az,maricopa
Atlanta,ga,dekalb
Atlanta,ga,fulton
Omaha,ne,douglas
Colorado Springs,co,el paso
Raleigh,nc,durham
Raleigh,nc,wake
Long Beach,ca,los angeles
Virginia Beach,va,virginia beach
Miami,fl,miami-dade
Oakland,ca,alameda
Minneapolis,mn,hennepin
Tulsa,ok,wagoner
Tulsa,ok,osage
Tulsa,ok,tulsa
Bakersfield,ca,kern
Wichita,ks,sedgwick
Arlington,tx,tarrant
Aurora,co,douglas
Aurora,co,adams
Aurora,co,arapahoe
Tampa,fl,hillsborough
New Orleans,la,orleans
Cleveland,oh,cuyahoga
Honolulu,hi,honolulu
Anaheim,ca,orange
Lexington,ky,fayette
Stockton,ca,san joaquin
Corpus Christi,tx,aransas
Corpus Christi,tx,kleberg
Corpus Christi,tx,nueces
Henderson,nv,clark
Riverside,ca,riverside
Newark,nj,essex
St Paul,mn,ramsey
Santa Ana,ca,orange
Cincinnati,oh,hamilton
Irvine,ca,orange
Orlando,fl,orange
Pittsburgh,pa,allegheny
St Louis,mo,st. louis
Greensboro,nc,guilford
Jersey City,nj,hudson
Anchorage,ak,anchorage
Lincoln,ne,lancaster
Plano,tx,denton
Plano,tx,collin
Durham,nc,durham
Buffalo,ny,erie
Chandler,az,maricopa
Chula Vista,ca,san diego
Toledo,oh,lucas
Madison,wi,dane
Gilbert,az,maricopa
Reno,nv,washoe
Fort Wayne,in,allen
North Las Vegas,nv,clark
St Petersburg,fl,pinellas
Lubbock,tx,lubbock
Irving,tx,dallas
Laredo,tx,webb
Winston Salem,nc,forsyth
Chesapeake,va,chesapeake
Glendale,az,maricopa
Garland,tx,dallas
Garland,tx,collin
Scottsdale,az,maricopa
Norfolk,va,norfolk
Boise,id,ada
Fremont,ca,alameda
Spokane,wa,spokane
Santa Clarita,ca,los angeles
Baton Rouge,la,east baton rouge
Richmond,va,richmond (city)
Hialeah,fl,miami-dade
San Bernardino,ca,san bernardino
Tacoma,wa,pierce
Modesto,ca,stanislaus
Huntsville,al,limestone
Huntsville,al,madison
Des Moines,ia,polk
Des Moines,ia,warren
Yonkers,ny,westchester
Rochester,ny,monroe
Moreno Valley,ca,riverside
Fayetteville,nc,cumberland
Fontana,ca,san bernardino
Columbus,ga,muscogee
Worcester,ma,worcester
Port St Lucie,fl,st. lucie
Little Rock,ar,pulaski
Augusta,ga,richmond
Oxnard,ca,ventura
Birmingham,al,shelby
Birmingham,al,jefferson
Montgomery,al,montgomery
Frisco,tx,denton
Frisco,tx,collin
Amarillo,tx,randall
Amarillo,tx,potter
Salt Lake City,ut,salt lake
Grand Rapids,mi,kent
Huntington Beach,ca,orange
Overland Park,ks,johnson
Glendale,ca,los angeles
Tallahassee,fl,leon
Grand Prairie,tx,tarrant
Grand Prairie,tx,dallas
Grand Prairie,tx,ellis
McKinney,tx,collin
Cape Coral,fl,lee
Sioux Falls,sd,minnehaha
Sioux Falls,sd,lincoln
Peoria,az,maricopa
Peoria,az,yavapai
Providence,ri,providence
Vancouver,wa,clark
Knoxville,tn,knox
Akron,oh,summit
Shreveport,la,bossier
Shreveport,la,caddo
Mobile,al,mobile
Brownsville,tx,cameron
Newport News,va,newport news
Fort Lauderdale,fl,broward
Chattanooga,tn,hamilton
Tempe,az,maricopa
Aurora,il,kendall
Aurora,il,dupage
Aurora,il,kane
Aurora,il,will
Santa Rosa,ca,sonoma
Eugene,or,lane
Elk Grove,ca,sacramento
Salem,or,polk
Salem,or,marion
Ontario,ca,san bernardino
Cary,nc,chatham
Cary,nc,wake
Rancho Cucamonga,ca,san bernardino
Oceanside,ca,san diego
Lancaster,ca,los angeles
Garden Grove,ca,orange
Pembroke Pines,fl,broward
Fort Collins,co,larimer
Palmdale,ca,los angeles
Springfield,mo,greene
Clarksville,tn,montgomery
Salinas,ca,monterey
Hayward,ca,alameda
Paterson,nj,passaic
Alexandria,va,alexandria
Macon,ga,bibb
Corona,ca,riverside
Kansas City,ks,wyandotte
Lakewood,co,jefferson
Springfield,ma,hampden
Sunnyvale,ca,santa clara
Jackson,ms,madison
Jackson,ms,rankin
Jackson,ms,hinds
Killeen,tx,bell
Hollywood,fl,broward
Murfreesboro,tn,rutherford
Pasadena,tx,harris
Bellevue,wa,king
Pomona,ca,los angeles
Escondido,ca,san diego
Joliet,il,kendall
Joliet,il,will
Charleston,sc,charleston
Charleston,sc,berkeley
Mesquite,tx,kaufman
Mesquite,tx,dallas
Naperville,il,dupage
Naperville,il,will
Rockford,il,winnebago
Bridgeport,ct,fairfield
Syracuse,ny,onondaga
Savannah,ga,chatham
Roseville,ca,placer
Torrance,ca,los angeles
Fullerton,ca,orange
Surprise,az,maricopa
McAllen,tx,hidalgo
Thornton,co,adams
Visalia,ca,tulare
Olathe,ks,johnson
Gainesville,fl,alachua
West Valley City,ut,salt lake
Orange,ca,orange
Denton,tx,denton
Warren,mi,macomb
Pasadena,ca,los angeles
Waco,tx,mclennan
Cedar Rapids,ia,linn
Dayton,oh,montgomery
Elizabeth,nj,union
Hampton,va,hampton
Columbia,sc,lexington
Columbia,sc,richland
Kent,wa,king
Stamford,ct,fairfield
Lakewood,nj,ocean
Victorville,ca,san bernardino
Miramar,fl,broward
Coral Springs,fl,broward
Sterling Heights,mi,macomb
New Haven,ct,new haven
Carrollton,tx,denton
Carrollton,tx,dallas
Carrollton,tx,collin
Midland,tx,midland
Midland,tx,martin
Norman,ok,cleveland
Santa Clara,ca,santa clara
Athens,ga,clarke
Thousand Oaks,ca,ventura
Topeka,ks,shawnee
Simi Valley,ca,ventura
Columbia,mo,boone
Vallejo,ca,solano
Fargo,nd,cass
Allentown,pa,lehigh
Pearland,tx,brazoria
Pearland,tx,harris
Pearland,tx,fort bend
Concord,ca,contra costa
Abilene,tx,taylor
Abilene,tx,jones
Arvada,co,jefferson
Arvada,co,adams
Berkeley,ca,alameda
Ann Arbor,mi,washtenaw
Independence,mo,clay
Independence,mo,jackson
Rochester,mn,olmsted
Lafayette,la,lafayette
Hartford,ct,hartford
College Station,tx,brazos
Clovis,ca,fresno
Fairfield,ca,solano
Palm Bay,fl,brevard
Richardson,tx,dallas
Richardson,tx,collin
Round Rock,tx,williamson
Round Rock,tx,travis
Cambridge,ma,middlesex
Meridian,id,ada
West Palm Beach,fl,palm beach
Evansville,in,vanderburgh
Clearwater,fl,pinellas
Billings,mt,yellowstone
West Jordan,ut,salt lake
Richmond,ca,contra costa
Westminster,co,jefferson
Westminster,co,adams
Manchester,nh,hillsborough
Lowell,ma,middlesex
Wilmington,nc,new hanover
Antioch,ca,contra costa
Beaumont,tx,jefferson
Provo,ut,utah
North Charleston,sc,charleston
North Charleston,sc,dorchester
Elgin,il,cook
Elgin,il,kane
Carlsbad,ca,san diego
Odessa,tx,midland
Odessa,tx,ector
Waterbury,ct,new haven
Springfield,il,sangamon
League City,tx,harris
